Date,Year,Month,Day,DOW,Public holiday,Adelaide,Brisbane,Canberra,Darwin,Hobart,Melbourne,Perth,Sydney,Number,National_holiday
1/1/2004,2004,1,1,Thursday,New Year's Day,1,1,1,1,1,1,1,1,8,TRUE
1/26/2004,2004,1,26,Monday,Australia Day,1,1,1,1,1,1,1,1,8,TRUE
2/9/2004,2004,2,9,Monday,Royal Hobart Regatta,,,,,1,,,,1,FALSE
3/1/2004,2004,3,1,Monday,Labour Day,,,,,,,1,,1,FALSE
3/8/2004,2004,3,8,Monday,"Canberra Day, Eight Hours Day & Labour Day",,,1,,,1,,1,3,FALSE
4/9/2004,2004,4,9,Friday,Good Friday,1,1,1,1,1,1,1,1,8,TRUE
4/10/2004,2004,4,10,Saturday,Easter Saturday,1,1,1,1,,1,,1,6,FALSE
4/12/2004,2004,4,12,Monday,Easter Monday,1,1,1,1,1,1,1,1,8,TRUE
4/25/2004,2004,4,25,Sunday,ANZAC Day,,,,,1,,1,,2,FALSE
4/26/2004,2004,4,26,Monday,ANZAC Day Observance,1,1,1,1,,1,1,1,7,FALSE
5/3/2004,2004,5,3,Monday,Labour Day & May Day,,1,,1,,,,,2,FALSE
5/17/2004,2004,5,17,Monday,Adelaide Cup,1,,,,,,,,1,FALSE
6/7/2004,2004,6,7,Monday,Western Australia Day,,,,,,,1,,1,FALSE
6/14/2004,2004,6,14,Monday,Queen's Birthday,1,,1,1,1,1,,1,6,FALSE
8/2/2004,2004,8,2,Monday,Picnic Day,,,,1,,,,,1,FALSE
8/11/2004,2004,8,11,Wednesday,Royal Queensland Show,,1,,,,,,,1,FALSE
10/4/2004,2004,10,4,Monday,Labour Day ,1,,1,,,,,1,3,FALSE
10/21/2004,2004,10,21,Thursday,Royal Hobart Show,,,,,1,,,,1,FALSE
11/2/2004,2004,11,2,Tuesday,Melbourne Cup,,,,,,1,,,1,FALSE
12/25/2004,2004,12,25,Saturday,Christmas Day,,,,,,,1,1,2,FALSE
12/26/2004,2004,12,26,Sunday,Boxing Day & Proclamation Day,,,,,,1,1,,2,FALSE
12/27/2004,2004,12,27,Monday,Christmas Day Observance,1,1,1,1,1,1,1,1,8,TRUE
12/28/2004,2004,12,28,Tuesday,Boxing Day Observance,1,1,1,1,1,1,1,1,8,TRUE
1/1/2005,2005,1,1,Saturday,New Years Day,,1,1,1,,1,1,1,6,FALSE
1/3/2005,2005,1,3,Monday,New Years Day Observance,1,1,1,1,1,1,1,1,8,TRUE
1/26/2005,2005,1,26,Wednesday,Australia Day,1,1,1,1,1,1,1,1,8,TRUE
2/14/2005,2005,2,14,Monday,Royal Hobart Regatta,,,,,1,,,,1,FALSE
3/7/2005,2005,3,7,Monday,Labour Day,,,,,,,1,,1,FALSE
3/14/2005,2005,3,14,Monday,Eight Hours Day & Labour Day,,,,,1,1,,,2,FALSE
3/21/2005,2005,3,21,Monday,Canberra Day,,,1,,,,,,1,FALSE
3/25/2005,2005,3,25,Friday,Good Friday,1,1,1,1,1,1,1,1,8,TRUE
3/26/2005,2005,3,26,Saturday,Easter Saturday,1,1,1,1,,1,,1,6,FALSE
3/28/2005,2005,3,28,Monday,Easter Monday,1,1,1,1,1,1,1,1,8,TRUE
4/25/2005,2005,4,25,Monday,ANZAC Day,1,1,1,1,1,1,1,1,8,TRUE
5/2/2005,2005,5,2,Monday,Labour Day & May Day,,1,,1,,,,,2,FALSE
5/16/2005,2005,5,16,Monday,Adelaide Cup,1,,,,,,,,1,FALSE
6/6/2005,2005,6,6,Monday,Foundation Day,,,,,,,1,,1,FALSE
6/13/2005,2005,6,13,Monday,Queen's Birthday,1,1,1,1,1,1,,1,7,FALSE
8/1/2005,2005,8,1,Monday,Picnic Day,,,,1,,,,,1,FALSE
8/17/2005,2005,8,17,Wednesday,Royal Queensland Show,,1,,,,,,,1,FALSE
9/26/2005,2005,9,26,Monday,Queen's Birthday,,,,,,,1,,1,FALSE
