dateType,name,important_date,publisher,description,source
MULTI_FAITH,Lent,6/03/2019,Faith Communities Council of Victoria,6 March 2019 - 18 April 2019,http://www.faithvictoria.org.au/calendar
MULTI_FAITH,Lent,16/03/2019,Faith Communities Council of Victoria,6 March 2019 - 18 April 2019,http://www.faithvictoria.org.au/calendar
MULTI_FAITH,Lent,17/03/2019,Faith Communities Council of Victoria,6 March 2019 - 18 April 2019,http://www.faithvictoria.org.au/calendar
MULTI_FAITH,Lent,18/03/2019,Faith Communities Council of Victoria,6 March 2019 - 18 April 2019,http://www.faithvictoria.org.au/calendar
MULTI_FAITH,Great lent (Orthodox),14/03/2019,Faith Communities Council of Victoria,11 March 2019-19 April 2019,http://www.faithvictoria.org.au/calendar
MULTI_FAITH,Lent,14/03/2019,Faith Communities Council of Victoria,6 March 2019 - 18 April 2019,http://www.faithvictoria.org.au/calendar
MULTI_FAITH,Great lent (Orthodox),30/03/2019,Faith Communities Council of Victoria,11 March 2019-19 April 2019,http://www.faithvictoria.org.au/calendar
MULTI_FAITH,Great lent (Orthodox),1/04/2019,Faith Communities Council of Victoria,11 March 2019-19 April 2019,http://www.faithvictoria.org.au/calendar
MULTI_FAITH,Great lent (Orthodox),16/03/2019,Faith Communities Council of Victoria,11 March 2019-19 April 2019,http://www.faithvictoria.org.au/calendar
MULTI_FAITH,Lent,20/03/2019,Faith Communities Council of Victoria,6 March 2019 - 18 April 2019,http://www.faithvictoria.org.au/calendar
MULTI_FAITH,Lent,30/03/2019,Faith Communities Council of Victoria,6 March 2019 - 18 April 2019,http://www.faithvictoria.org.au/calendar
MULTI_FAITH,Lent,15/03/2019,Faith Communities Council of Victoria,6 March 2019 - 18 April 2019,http://www.faithvictoria.org.au/calendar
MULTI_FAITH,Purim,21/03/2019,Faith Communities Council of Victoria,,http://www.faithvictoria.org.au/calendar
MULTI_FAITH,Great lent (Orthodox),13/04/2019,Faith Communities Council of Victoria,11 March 2019-19 April 2019,http://www.faithvictoria.org.au/calendar
MULTI_FAITH,Lent,13/04/2019,Faith Communities Council of Victoria,6 March 2019 - 18 April 2019,http://www.faithvictoria.org.au/calendar
MULTI_FAITH,Great lent (Orthodox),14/04/2019,Faith Communities Council of Victoria,11 March 2019-19 April 2019,http://www.faithvictoria.org.au/calendar
MULTI_FAITH,Lent,17/04/2019,Faith Communities Council of Victoria,6 March 2019 - 18 April 2019,http://www.faithvictoria.org.au/calendar
MULTI_FAITH,Great lent (Orthodox),18/04/2019,Faith Communities Council of Victoria,11 March 2019-19 April 2019,http://www.faithvictoria.org.au/calendar
MULTI_FAITH,Great lent (Orthodox),19/04/2019,Faith Communities Council of Victoria,11 March 2019-19 April 2019,http://www.faithvictoria.org.au/calendar
MULTI_FAITH,Great lent (Orthodox),12/04/2019,Faith Communities Council of Victoria,11 March 2019-19 April 2019,http://www.faithvictoria.org.au/calendar
MULTI_FAITH,Great lent (Orthodox),7/04/2019,Faith Communities Council of Victoria,11 March 2019-19 April 2019,http://www.faithvictoria.org.au/calendar
MULTI_FAITH,Ridvan,22/04/2019,Faith Communities Council of Victoria,21 April - 2 May 2019,http://www.faithvictoria.org.au/calendar
MULTI_FAITH,Pesach,26/04/2019,Faith Communities Council of Victoria,20-27 April 2019,http://www.faithvictoria.org.au/calendar
MULTI_FAITH,Ramadan,10/05/2019,Faith Communities Council of Victoria,6 May -4 June 2019,http://www.faithvictoria.org.au/calendar
MULTI_FAITH,Krishna Janmashtami,23/08/2019,Faith Communities Council of Victoria,,http://www.faithvictoria.org.au/calendar
MULTI_FAITH,Ramadan,12/05/2019,Faith Communities Council of Victoria,6 May -4 June 2019,http://www.faithvictoria.org.au/calendar
MULTI_FAITH,Ramadan,15/05/2019,Faith Communities Council of Victoria,6 May -4 June 2019,http://www.faithvictoria.org.au/calendar
MULTI_FAITH,Ramadan,21/05/2019,Faith Communities Council of Victoria,6 May -4 June 2019,http://www.faithvictoria.org.au/calendar
MULTI_FAITH,Declaration of the Bab,24/05/2019,Faith Communities Council of Victoria,,http://www.faithvictoria.org.au/calendar
MULTI_FAITH,Tisha B'Av,11/08/2019,Faith Communities Council of Victoria,,http://www.faithvictoria.org.au/calendar
MULTI_FAITH,Navaratri,7/10/2019,Faith Communities Council of Victoria,29 September - 7 October 2019,http://www.faithvictoria.org.au/calendar
MULTI_FAITH,Sukkot,14/10/2019,Faith Communities Council of Victoria,14-20 October 2019,http://www.faithvictoria.org.au/calendar
MULTI_FAITH,Sukkot,18/10/2019,Faith Communities Council of Victoria,14-20 October 2019,http://www.faithvictoria.org.au/calendar
MULTI_FAITH,Advent,3/12/2019,Faith Communities Council of Victoria,1-24 Dec 2019,http://www.faithvictoria.org.au/calendar
MULTI_FAITH,All Saints day,1/11/2019,Faith Communities Council of Victoria,,http://www.faithvictoria.org.au/calendar
MULTI_FAITH,Advent,17/12/2019,Faith Communities Council of Victoria,1-24 Dec 2019,http://www.faithvictoria.org.au/calendar
