Site_ID,GateWayHub_ID,Site_Status,Last_Data_Local,Start_Reading,End_Reading,Latitude,Longitude,Location
1008,arc1045,R,,2021-06-14,2021-06-20,-37.81746522,144.96705703,"-37.81746522, 144.96705703"
1002,arc1046,R,,2019-11-15,2021-06-13,-37.800524,144.964122,"-37.800524, 144.964122"
1013,arc1047,R,,2021-09-17,,-37.811944,144.956389,"-37.811944, 144.956389"
1007,arc1113,C,,2021-05-20,,-37.82246,144.951835,"-37.82246, 144.951835"
1010,arc1112,C,,2021-06-29,,-37.82250002,144.95222195,"-37.82250002, 144.95222195"
1006,arc1112,R,,2021-05-20,2021-06-28,-37.822486,144.952065,"-37.822486, 144.952065"
1015,arc1046,R,,2021-09-17,,-37.810278,144.9725,"-37.810278, 144.9725"
1016,arc1049,C,,2021-09-17,,-37.812778,144.960556,"-37.812778, 144.960556"
1003,arc1047,R,,2019-11-15,2021-06-13,-37.8023,144.960923,"-37.8023, 144.960923"
1011,arc1055,C,,2021-07-07,,-37.822222,144.952222,"-37.822222, 144.952222"
1005,arc1050,R,,2019-11-15,2021-06-13,-37.800629,144.965052,"-37.800629, 144.965052"
1012,arc1048,C,,2021-09-17,,-37.813333,144.97,"-37.813333, 144.97"
1014,arc1045,C,,2021-09-17,,-37.8175,144.967222,"-37.8175, 144.967222"
1004,arc1048,R,,2019-11-15,2021-06-13,-37.800575,144.964635,"-37.800575, 144.964635"
1009,arc1050,C,,2021-06-14,,-37.81686763,144.96570467,"-37.81686763, 144.96570467"
1001,arc1045,R,,2019-11-15,2021-06-13,-37.800793,144.966492,"-37.800793, 144.966492"
