Site_ID,GateWayHub_ID,Site_Status,Last_Data_Local,Start_Reading,End_Reading,Latitude,Longitude,Location,street,housenumber,postcode,city,country,formatted
1008,arc1045,R,,2021-06-14,2021-06-20,-37.81746522,144.96705703,"-37.81746522, 144.96705703",Flinders Street,216,3000,Melbourne,Australia,"216 Flinders Street, Melbourne VIC 3000, Australia"
1002,arc1046,R,,2019-11-15,2021-06-13,-37.800524,144.964122,"-37.800524, 144.964122",Grattan Street,151,3053,Carlton,Australia,"151 Grattan Street, Carlton VIC 3053, Australia"
1013,arc1047,R,,2021-09-17,,-37.811944,144.956389,"-37.811944, 144.956389",William Street,307,3000,Melbourne,Australia,"307 William Street, Melbourne VIC 3000, Australia"
1007,arc1113,C,,2021-05-20,,-37.82246,144.951835,"-37.82246, 144.951835",Siddeley Street,67,3008,Docklands,Australia,"67 Siddeley Street, Docklands VIC 3008, Australia"
1010,arc1112,C,,2021-06-29,,-37.82250002,144.95222195,"-37.82250002, 144.95222195",Siddeley Street,57,3008,Docklands,Australia,"57 Siddeley Street, Docklands VIC 3008, Australia"
1006,arc1112,R,,2021-05-20,2021-06-28,-37.822486,144.952065,"-37.822486, 144.952065",Siddeley Street,61,3008,Docklands,Australia,"61 Siddeley Street, Docklands VIC 3008, Australia"
1015,arc1046,R,,2021-09-17,,-37.810278,144.9725,"-37.810278, 144.9725",Spring Street,189,3000,Melbourne,Australia,"189 Spring Street, Melbourne VIC 3000, Australia"
1016,arc1049,C,,2021-09-17,,-37.812778,144.960556,"-37.812778, 144.960556",Lonsdale Street,398,3000,Melbourne,Australia,"Hardware Lane/Lonsdale Street, 398 Lonsdale Street, Melbourne VIC 3000, Australia"
1003,arc1047,R,,2019-11-15,2021-06-13,-37.8023,144.960923,"-37.8023, 144.960923",Leicester Street,154-160,3053,Melbourne,Australia,"Irish Corkman's Pub, 154-160 Leicester Street, Carlton VIC 3053, Australia"
1011,arc1055,C,,2021-07-07,,-37.822222,144.952222,"-37.822222, 144.952222",Flinders Street,671-701,3008,Melbourne,Australia,"671-701 Flinders Street, Docklands VIC 3008, Australia"
1005,arc1050,R,,2019-11-15,2021-06-13,-37.800629,144.965052,"-37.800629, 144.965052",Grattan Street,125,3053,Carlton,Australia,"125 Grattan Street, Carlton VIC 3053, Australia"
1012,arc1048,C,,2021-09-17,,-37.813333,144.97,"-37.813333, 144.97",Little Collins Street,110,3000,Melbourne,Australia,"110 Little Collins Street, Melbourne VIC 3000, Australia"
1014,arc1045,C,,2021-09-17,,-37.8175,144.967222,"-37.8175, 144.967222",Flinders Street,210,3000,Melbourne,Australia,"210 Flinders Street, Melbourne VIC 3000, Australia"
1004,arc1048,R,,2019-11-15,2021-06-13,-37.800575,144.964635,"-37.800575, 144.964635",Grattan Street,137,3053,Carlton,Australia,"137 Grattan Street, Carlton VIC 3053, Australia"
1009,arc1050,C,,2021-06-14,,-37.81686763,144.96570467,"-37.81686763, 144.96570467",Flinders Lane,263,3000,Melbourne,Australia,"263 Flinders Lane, Melbourne VIC 3000, Australia"
1001,arc1045,R,,2019-11-15,2021-06-13,-37.800793,144.966492,"-37.800793, 144.966492",Grattan Street,89,3053,Melbourne,Australia,"Lygon Street/Grattan Street, 89 Grattan Street, Carlton VIC 3053, Australia"
