Location_ID;Sensor_Description;Sensor_Name;Installation_Date;Note;Location_Type;Status;Direction_1;Direction_2;Latitude;Longitude;Street;House_Number;Postcode;City;Country;Address
1;Bourke Street Mall (North);Bou292_T;24/03/2009;;Outdoor;A;East;West;-3.781.349.441;14.496.515.323;Bourke Street Mall;280;3000;Melbourne;Australia;Cue City, 280 Bourke Street Mall, Melbourne VIC 3000, Australia
4;Town Hall (West);Swa123_T;23/03/2009;;Outdoor;A;North;South;-3.781.487.988;1.449.660.878;Swanston Street;117;3000;Melbourne;Australia;117 Swanston Street, Melbourne VIC 3000, Australia
10;Victoria Point;BouHbr_T;23/04/2009;;Outdoor;A;East;West;-3.781.876.474;14.494.710.545;Bourke Street;770;3008;Docklands;Australia;770 Bourke Street, Docklands VIC 3008, Australia
11;Waterfront City;WatCit_T;20/01/2009;;Outdoor;A;East;West;-3.781.564.989;14.493.970.694;Newquay Promenade;84;3008;Docklands;Australia;84 Newquay Promenade, Docklands VIC 3008, Australia
24;Spencer St-Collins St (North);Col620_T;02/09/2013;;Outdoor;A;East;West;-3.781.887.963;14.495.449.198;Collins Street;620;3000;Melbourne;Australia;Liberty Tower, 620 Collins Street, Melbourne VIC 3000, Australia
31;Lygon St (West);Lyg161_T;10/10/2013;Pushbox Upgrade, 25/07/2023;Outdoor;A;North;South;-3.780.169.681;14.496.658.911;Lygon Street;169;3053;Carlton;Australia;169 Lygon Street, Carlton VIC 3053, Australia
36;Queen St (West);Que85_T;20/01/2015;Pushbox Upgrade, 03/08/2023;Outdoor;A;North;South;-3.781.652.527;14.496.121.062;Collins Street;394;3000;Melbourne;Australia;394 Collins Street, Melbourne VIC 3000, Australia
39;Alfred Place;AlfPl_T;04/12/2019;In 4/12/2019 sensor upgraded;Outdoor;A;North;South;-3.781.379.749;14.496.995.745;Alfred Place;23;3000;Melbourne;Australia;23 Alfred Place, Melbourne VIC 3000, Australia
45;Little Collins St-Swanston St (East);Swa148_T;29/06/2017;Pushbox Upgrade, 03/08/2023;Outdoor;A;North;South;-3.781.414.075;14.496.609.379;Swanston Street;144;3000;Melbourne;Australia;144 Swanston Street, Melbourne VIC 3000, Australia
49;QVM-Therry St (South);Eli501_T;29/11/2017;Pushbox Upgrade, 20/07/2023;Outdoor;A;East;West;-3.780.730.068;14.495.956.055;Therry Street;81;3000;Melbourne;Australia;81 Therry Street, Melbourne VIC 3000, Australia
58;Bourke St - Spencer St (North);Bou688_T;27/09/2018;;Outdoor;A;East;West;-3.781.686.075;14.495.358.075;Bourke Street;690;3000;Melbourne;Australia;690 Bourke Street, Melbourne VIC 3000, Australia
59;Building 80 RMIT;RMIT_T;13/02/2019;;Outdoor;A;North;South;-3.780.825.648;14.496.304.859;Swanston Street;437;3000;Melbourne;Australia;437 Swanston Street, Melbourne VIC 3000, Australia
61;RMIT Building 14;RMIT14_T;28/06/2019;;Outdoor;A;North;South;-3.780.767.455;14.496.309.114;Swanston Street;414;3000;Melbourne;Australia;414 Swanston Street, Melbourne VIC 3000, Australia
62;La Trobe St (North);Lat224_T;25/09/2019;;Outdoor;A;East;West;-3.780.996.494;14.496.216.521;La Trobe Street;254;3000;Melbourne;Australia;254 La Trobe Street, Melbourne VIC 3000, Australia
75;Spring St- Flinders st (West);SprFli_T;18/12/2020;;Outdoor;A;North;South;-3.781.515.276;14.497.467.661;Spring Street;3;3000;Melbourne;Australia;3 Spring Street, Melbourne VIC 3000, Australia
77;Harbour Esplanade (West) - Pedestrian path;HarEsP_T;25/03/2021;Replaced - water damaged;Outdoor;A;North;South;-3.781.441.438;14.494.433.026;Harbour Esplanade;197;3008;Docklands;Australia;197 Harbour Esplanade, Docklands VIC 3008, Australia
79;Flinders St (South);FliSS_T;10/09/2021;;Outdoor;A;East;West;-3.781.794.046;14.496.616.678;Flinders Street;207-361;3000;Melbourne;Australia;207-361 Flinders Street, Melbourne VIC 3000, Australia
84;Elizabeth St - Flinders St (East) - New footpath;ElFi_T;03/12/2021;;Outdoor;A;North;South;-3.781.798.049;14.496.503.383;Flinders Street;276;3000;Melbourne;Australia;Rocket Burgers and Fries, 276 Flinders Street, Melbourne VIC 3000, Australia
87;Errol St (West);Errol23_T;20/05/2022;;Outdoor;A;North;South;-3.780.454.949;14.494.921.863;Errol Street;19;3051;North Melbourne;Australia;19 Errol Street, North Melbourne VIC 3051, Australia
108;William St - Little Lonsdale St (West);261Will_T;08/10/2022;;Outdoor;A;North;South;-3.781.295.822;14.495.678.789;William Street;261;3000;Melbourne;Australia;7-Eleven, 261 William Street, Melbourne VIC 3000, Australia
109;La Trobe St- William St (South);LatWill_T;08/10/2022;;Outdoor;A;East;West;-3.781.193.681;14.495.621.105;La Trobe Street;433;3000;Melbourne;Australia;433 La Trobe Street, Melbourne VIC 3000, Australia
124;Birrarung Marr East - Batman Ave Bridge Entry;BirBridge_T_2;02/06/2023;;Outdoor;A;North;South;-3.781.757.416;14.497.329.934;Batman Avenue;;3000;Melbourne;Australia;Batman Avenue Bridge, Batman Avenue, Melbourne VIC 3000, Australia
