FID,Distric_D,NDistric_D,NVia_D
0,01,Ciutat Vella,Carrer Pepe Rubianes
15,01,Ciutat Vella,Carrer Almirall Aixada
29,01,Ciutat Vella,Carrer Judici
37,01,Ciutat Vella,
38,01,Ciutat Vella,Carrer Drassana
41,01,Ciutat Vella,Carrer Mar
44,01,Ciutat Vella,Carrer Sant Elm
46,01,Ciutat Vella,Carrer Sant Miquel
49,01,Ciutat Vella,Carrer Pescadors
51,01,Ciutat Vella,Carrer Comte de Santa Clara
54,01,Ciutat Vella,Carrer Sevilla
56,01,Ciutat Vella,Carrer Baluard
59,01,Ciutat Vella,Carrer Mestrança
62,01,Ciutat Vella,Carrer Meer
64,01,Ciutat Vella,Carrer Pontevedra
66,01,Ciutat Vella,Carrer Atlàntida
68,01,Ciutat Vella,Carrer Grau i Torras
69,01,Ciutat Vella,Carrer Guitert
70,01,Ciutat Vella,Carrer Vila Joiosa
71,01,Ciutat Vella,Carrer Sant Carles
90,01,Ciutat Vella,Carrer Andrea Doria
95,01,Ciutat Vella,Carrer Vinaròs
103,01,Ciutat Vella,Carrer Alcanar
112,01,Ciutat Vella,Carrer Sòria
113,01,Ciutat Vella,Carrer Berenguer Mallol
114,01,Ciutat Vella,Carrer Doctor Giné i Partagàs
116,01,Ciutat Vella,Carrer Salamanca
117,01,Ciutat Vella,Carrer Proclamació
118,01,Ciutat Vella,Carrer Escuder
125,01,Ciutat Vella,Carrer Almirall Churruca
135,01,Ciutat Vella,Carrer La Maquinista
145,01,Ciutat Vella,Carrer Ginebra
160,01,Ciutat Vella,Carrer Santa Lluïsa de Marillac
161,01,Ciutat Vella,Carrer Almirall Barceló
162,01,Ciutat Vella,Carrer Cermeño
163,01,Ciutat Vella,Carrer Marquès de la Mina
166,01,Ciutat Vella,Carrer Balboa
170,01,Ciutat Vella,Carrer Pinzón
171,01,Ciutat Vella,Carrer Mediterrània
172,01,Ciutat Vella,Carrer Marquès de la Quadra
173,01,Ciutat Vella,Carrer Pizarro
174,01,Ciutat Vella,Passatge Carbonell
175,01,Ciutat Vella,Carrer Carbonell
179,01,Ciutat Vella,Carrer Rector Bruguera
181,01,Ciutat Vella,Carrer Paredes
182,01,Ciutat Vella,Carrer Magatzems
183,01,Ciutat Vella,Carrer Monjo
184,01,Ciutat Vella,Carrer Sal
185,01,Ciutat Vella,Carrer Mariners
186,01,Ciutat Vella,Carrer Safareigs
187,01,Ciutat Vella,Carrer Sant Josep
188,01,Ciutat Vella,Carrer Vicaria
195,01,Ciutat Vella,Passeig Isabel II
197,01,Ciutat Vella,Carrer Reina Cristina
198,01,Ciutat Vella,Carrer Llauder
199,01,Ciutat Vella,Pla Palau
209,01,Ciutat Vella,Plaça Pau Vila
211,01,Ciutat Vella,Plaça Barceloneta
214,01,Ciutat Vella,Carrer Mercè
218,01,Ciutat Vella,Carrer Marquet
220,01,Ciutat Vella,Carrer Plata
222,01,Ciutat Vella,Carrer Ample
227,01,Ciutat Vella,Carrer Simó Oller
229,01,Ciutat Vella,Via Laietana
231,01,Ciutat Vella,Carrer Agullers
234,01,Ciutat Vella,Carrer Canvis Nous
237,01,Ciutat Vella,Carrer Arenes dels Canvis
238,01,Ciutat Vella,Carrer Consellers
239,01,Ciutat Vella,Carrer Portadores
240,01,Ciutat Vella,Carrer Consolat de Mar
241,01,Ciutat Vella,Carrer Canvis Vells
244,01,Ciutat Vella,Carrer Àngel J. Baixeras
245,01,Ciutat Vella,Carrer Salvador Aulet
246,01,Ciutat Vella,Carrer Sots-tinent Navarro
249,01,Ciutat Vella,Carrer Hostal d'en Sol
