stationId,addressType,addressName,addressNumber,latitude,longitude,altitude,districtId,districtName,neighborhoodId,neighborhoodName,postCode,capacity
ab90b530,GRAN VIA,CORTS CATALANES,760,41.39797,2.18010,16,2,Eixample,5,El Fort Pienc,8013,46
49db2800,CARRER,ROGER DE FLOR,126,41.39548,2.17719,17,2,Eixample,5,El Fort Pienc,8013,28
015dbfda,CARRER,NÀPOLS,82,41.39415,2.18133,11,2,Eixample,5,El Fort Pienc,8013,27
13c5ac4e,CARRER,RIBES,13,41.39331,2.18124,8,2,Eixample,5,El Fort Pienc,8013,21
3c63118f,PASSEIG,LLUIS COMPANYS,11,41.39110,2.18017,7,1,Ciutat Vella,4,"Sant Pere, Santa Caterina I La Ribera",8018,39
b624d018,PASSEIG,LLUIS COMPANYS,18,41.39142,2.18056,10,1,Ciutat Vella,4,"Sant Pere, Santa Caterina I La Ribera",8018,39
70549290,PASSEIG,PUJADES,1,41.38888,2.18329,6,1,Ciutat Vella,4,"Sant Pere, Santa Caterina I La Ribera",8003,27
a403c13c,PASSEIG,PUJADES,2,41.38913,2.18348,6,1,Ciutat Vella,4,"Sant Pere, Santa Caterina I La Ribera",8003,27
3fe09388,AVINGUDA,MARQUÉS DE L'ARGENTERA,13,41.38454,2.18492,5,1,Ciutat Vella,4,"Sant Pere, Santa Caterina I La Ribera",8003,27
11d8ae98,CARRER,60,25,41.34677,2.14362,0,3,Sants-Montjuïc,12,La Marina Del Prat Vermell,8040,43
7d6b25e7,PASSEIG,MARITIM,11,41.38239,2.19429,0,1,Ciutat Vella,3,La Barceloneta,8003,35
df319bca,PASSEIG,MARITIM,23,41.38336,2.19462,7,1,Ciutat Vella,3,La Barceloneta,8003,26
b23b9e10,CARRER,MARINA,25,41.38814,2.19555,7,1,Ciutat Vella,67,La Vila Olímpica Del Poblenou,8005,53
7235c23a,AVINGUDA,MARQUÉS DE L'ARGENTERA,15,41.38484,2.18508,5,1,Ciutat Vella,4,"Sant Pere, Santa Caterina I La Ribera",8003,27
483222b7,CARRER,DIPUTACIÓ,272,41.39161,2.16890,25,2,Eixample,7,La Dreta De L'eixample,8009,27
5dfbf689,AVINGUDA,MERIDIANA,47,41.39826,2.18665,14,2,Eixample,66,El Parc I La Llacuna Del Poblenou,8013,42
cf1dc149,CARRER,ROSSELLÓ,453,41.40605,2.17404,38,2,Eixample,6,La Sagrada Família,8025,27
5b468529,CARRER,ROSSELLÓ,354,41.40314,2.17079,40,2,Eixample,6,La Sagrada Família,8025,30
e8f8643b,CARRER,CARTAGENA,308,41.41031,2.17573,46,2,Eixample,6,La Sagrada Família,8025,18
741bd1f5,CARRER,SANT ANTONI MARIA CLARET,214,41.41084,2.17405,52,2,Eixample,6,La Sagrada Família,8025,21
1e1bcac4,CARRER,SARDENYA,292,41.40169,2.17576,28,2,Eixample,6,La Sagrada Família,8013,19
4db182e1,CARRER,BRUC,45,41.39246,2.17173,21,2,Eixample,7,La Dreta De L'eixample,8010,27
59e53c85,CARRER,MARINA,199,41.40057,2.17888,23,2,Eixample,5,El Fort Pienc,8013,39
f375dee2,CARRER,BRUC,102,41.39540,2.16819,29,2,Eixample,7,La Dreta De L'eixample,8009,21
1fa7409b,CARRER,DOS DE MAIG,230,41.40716,2.18207,22,10,Sant Martí,64,El Camp De L'arpa Del Clot,8013,18
26308e35,CARRER,PROVENÇA,322,41.39675,2.16463,38,2,Eixample,7,La Dreta De L'eixample,8037,17
1b1ed1c0,CARRER,SARDENYA,362,41.40551,2.17064,46,2,Eixample,6,La Sagrada Família,8025,22
ea804678,CARRER,PROVENÇA,388,41.40106,2.16994,34,2,Eixample,7,La Dreta De L'eixample,8025,23
f9b9915d,CARRER,CASTILLEJOS,184,41.40218,2.18298,13,2,Eixample,5,El Fort Pienc,8013,29
b4ae2d58,PLAÇA,DEL MAR,,41.37480,2.18890,4,1,Ciutat Vella,3,La Barceloneta,8003,18
638422a4,,LA BARCELONETA (CN BARCELONETA),,41.37369,2.18892,4,1,Ciutat Vella,3,La Barceloneta,8003,35
b5ce5ab4,CARRER,PONTEVEDRA,58,41.37686,2.19067,4,1,Ciutat Vella,3,La Barceloneta,8003,21
6a715bb4,CARRER,SANT PERE MÉS ALT,4,41.38710,2.17533,9,1,Ciutat Vella,4,"Sant Pere, Santa Caterina I La Ribera",8003,21
12bf7b51,CARRER,SANT RAMON DE PENYAFORT,1,41.41348,2.22069,5,10,Sant Martí,70,El Besòs I El Maresme,8930,54
0c4062fc,AVINGUDA,DE LA CATEDRAL,6,41.38506,2.17668,8,1,Ciutat Vella,2,El Barri Gòtic,8002,21
20a36dfd,PASSEIG,DE COLOM (VIA LAIETANA),,41.38062,2.18206,4,1,Ciutat Vella,4,"Sant Pere, Santa Caterina I La Ribera",8002,24
3ac8723b,PLAÇA,PAU VILA (D),,41.38104,2.18657,4,1,Ciutat Vella,3,La Barceloneta,8039,44
74a9302a,CARRER,DOCTOR AIGUADER,2,41.38233,2.18709,6,1,Ciutat Vella,3,La Barceloneta,8039,18
c58c4e27,PLAÇA,POETA BOSCÀ,,41.37932,2.18990,5,1,Ciutat Vella,3,La Barceloneta,8003,25
42e1fb4c,CARRER,CIUTAT DE GRANADA,168,41.40451,2.18988,4,10,Sant Martí,66,El Parc I La Llacuna Del Poblenou,8018,24
40e8141c,CARRER,CLOT,1,41.40638,2.18744,13,10,Sant Martí,65,El Clot,8018,27
