id,NumberDistrict,NameDistrict,TypeVia,NameVia
T00001B,1,Ciutat Vella,Carrer,Carrer Pepe Rubianes
T00016I,1,Ciutat Vella,Carrer,Carrer Almirall Aixada
T00030G,1,Ciutat Vella,Carrer,Carrer Judici
T00040I,1,Ciutat Vella,Carrer,Carrer Drassana
T00049R,1,Ciutat Vella,Carrer,Carrer Mar
T00053N,1,Ciutat Vella,Carrer,Carrer Sant Elm
T00055P,1,Ciutat Vella,Carrer,Carrer Sant Miquel
T00059T,1,Ciutat Vella,Carrer,Carrer Pescadors
T00061N,1,Ciutat Vella,Carrer,Carrer Comte de Santa Clara
T00065R,1,Ciutat Vella,Carrer,Carrer Sevilla
T00067T,1,Ciutat Vella,Carrer,Carrer Baluard
T00070O,1,Ciutat Vella,Carrer,Carrer Mestrança
T00073R,1,Ciutat Vella,Carrer,Carrer Meer
T00075T,1,Ciutat Vella,Carrer,Carrer Pontevedra
T00079X,1,Ciutat Vella,Carrer,Carrer Atlàntida
T00083T,1,Ciutat Vella,Carrer,Carrer Grau i Torras
T00084U,1,Ciutat Vella,Carrer,Carrer Guitert
T00085V,1,Ciutat Vella,Carrer,Carrer Vila Joiosa
T00086W,1,Ciutat Vella,Carrer,Carrer Sant Carles
T00107K,1,Ciutat Vella,Carrer,Carrer Andrea Doria
T00112H,1,Ciutat Vella,Carrer,Carrer Vinaròs
T00123K,1,Ciutat Vella,Carrer,Carrer Alcanar
T00137Q,1,Ciutat Vella,Carrer,Carrer Sòria
T00138R,1,Ciutat Vella,Carrer,Carrer Berenguer Mallol
T00141M,1,Ciutat Vella,Carrer,Carrer Doctor Giné i Partagàs
T00143O,1,Ciutat Vella,Carrer,Carrer Salamanca
T00145Q,1,Ciutat Vella,Carrer,Carrer Proclamació
T00147S,1,Ciutat Vella,Carrer,Carrer Escuder
T00157U,1,Ciutat Vella,Carrer,Carrer Almirall Churruca
T00170R,1,Ciutat Vella,Carrer,Carrer La Maquinista
T00184X,1,Ciutat Vella,Carrer,Carrer Ginebra
T00201H,1,Ciutat Vella,Carrer,Carrer Santa Lluïsa de Marillac
T00203J,1,Ciutat Vella,Carrer,Carrer Almirall Barceló
T00208O,1,Ciutat Vella,Carrer,Carrer Cermeño
T00209P,1,Ciutat Vella,Carrer,Carrer Marquès de la Mina
T00216O,1,Ciutat Vella,Carrer,Carrer Balboa
T00222M,1,Ciutat Vella,Carrer,Carrer Pinzón
T00223N,1,Ciutat Vella,Carrer,Carrer Mediterrània
T00225P,1,Ciutat Vella,Carrer,Carrer Marquès de la Quadra
T00227R,1,Ciutat Vella,Carrer,Carrer Pizarro
T00228S,1,Ciutat Vella,Passatge,Passatge Carbonell
T00229T,1,Ciutat Vella,Carrer,Carrer Carbonell
T00235R,1,Ciutat Vella,Carrer,Carrer Rector Bruguera
T00237T,1,Ciutat Vella,Carrer,Carrer Paredes
T00238U,1,Ciutat Vella,Carrer,Carrer Magatzems
T00239V,1,Ciutat Vella,Carrer,Carrer Monjo
T00240O,1,Ciutat Vella,Carrer,Carrer Sal
T00241P,1,Ciutat Vella,Carrer,Carrer Mariners
T00242Q,1,Ciutat Vella,Carrer,Carrer Safareigs
T00243R,1,Ciutat Vella,Carrer,Carrer Sant Josep
T00244S,1,Ciutat Vella,Carrer,Carrer Vicaria
T00251R,1,Ciutat Vella,Passeig,Passeig Isabel II
T00254U,1,Ciutat Vella,Carrer,Carrer Reina Cristina
T00255V,1,Ciutat Vella,Carrer,Carrer Llauder
T00261T,1,Ciutat Vella,Pla,Pla Palau
T00275Z,1,Ciutat Vella,Plaça,Plaça Pau Vila
T00299H,1,Ciutat Vella,Plaça,Plaça Barceloneta
T00316R,1,Ciutat Vella,Carrer,Carrer Mercè
T00336V,1,Ciutat Vella,Carrer,Carrer Marquet
T00338X,1,Ciutat Vella,Carrer,Carrer Plata
T00341S,1,Ciutat Vella,Carrer,Carrer Ample
T00346X,1,Ciutat Vella,Carrer,Carrer Simó Oller
T00348Z,1,Ciutat Vella,Via,Via Laietana
T00350T,1,Ciutat Vella,Carrer,Carrer Agullers
T00354X,1,Ciutat Vella,Carrer,Carrer Canvis Nous
T00357A,1,Ciutat Vella,Carrer,Carrer Arenes dels Canvis
T00359C,1,Ciutat Vella,Carrer,Carrer Consellers
T00360V,1,Ciutat Vella,Carrer,Carrer Portadores
T00362X,1,Ciutat Vella,Carrer,Carrer Consolat de Mar
T00364Z,1,Ciutat Vella,Carrer,Carrer Canvis Vells
T00368D,1,Ciutat Vella,Carrer,Carrer Àngel J. Baixeras
T00370X,1,Ciutat Vella,Carrer,Carrer Salvador Aulet
T00371Y,1,Ciutat Vella,Carrer,Carrer Sots-tinent Navarro
T00374B,1,Ciutat Vella,Carrer,Carrer Hostal d'en Sol
T00376D,1,Ciutat Vella,Carrer,Carrer Fusteria
T00377E,1,Ciutat Vella,Carrer,Carrer Jupí
T00378F,1,Ciutat Vella,Carrer,Carrer Correu Vell
T00380Z,1,Ciutat Vella,Carrer,Carrer Pom d'Or
