barId,barName,barType,addressType,addressName,addressNumber,neighborhoodId,neighborhoodName,districtId,districtName,postCode,latitude,longitude
﻿99400533969,Restaurant Maná 75,Cocteleries|Xampanyeries|Restaurants,PASSEIG,JOAN BORBÓ COMTE BARCELONA,101,3,La Barceloneta,1,Ciutat Vella,8039,41.37133,2.18762
﻿99400533974,Restaurant Nº 30,Cocteleries|Xampanyeries|Restaurants,PASSEIG,JOAN BORBÓ COMTE BARCELONA,30,3,La Barceloneta,1,Ciutat Vella,8003,41.37904,2.18804
﻿283174133,Bar La Confiteria,Bars I Pubs Musicals|Cocteleries|Xampanyeries,,SANT PAU,128,1,El Raval,1,Ciutat Vella,8001,41.37551,2.16794
﻿99400698842,Cocteleria Monk,Cocteleries|Xampanyeries,CARRER,DELS ABAIXADORS,6,4,"Sant Pere, Santa Caterina I La Ribera",1,Ciutat Vella,8003,41.38310,2.18119
﻿99400594206,Restaurant Saraya Shisha Club,Cocteleries|Xampanyeries|Restaurants,CARRER,MUNTANER,102,8,L'antiga Esquerra De L'eixample,2,Eixample,8036,41.38868,2.15691
﻿99400574272,Restaurant Cocteleria Barítimo *maremàgnum,Cocteleries|Xampanyeries|Restaurants,,MOLL ESPANYA,5,2,El Barri Gòtic,1,Ciutat Vella,8039,41.37545,2.18239
﻿325120406,Atlàntic Bar,Bars I Pubs Musicals,AVINGUDA,TIBIDABO,56,25,Sant Gervasi - La Bonanova,5,Sarrià-sant Gervasi,8035,41.41536,2.13161
﻿92086025238,Bar Musical Abanico,Bars I Pubs Musicals|Cocteleries|Xampanyeries,CARRER,CAMP,3,26,Sant Gervasi - Galvany,5,Sarrià-sant Gervasi,8021,41.40162,2.13817
﻿99088120250,Discoteca La Terrrazza *poble Espanyol,Discoteques,AVINGUDA,FRANCESC FERRER GUÀRDIA,13,11,El Poble-sec,3,Sants-Montjuïc,8038,41.36914,2.14674
﻿75990174460,Sala Plataforma,Bars I Pubs Musicals|Discoteques,CARRER,NOU DE LA RAMBLA,145,11,El Poble-sec,3,Sants-Montjuïc,8004,41.37292,2.16800
﻿75990210498,Bar Musical Marley,Bars I Pubs Musicals,CARRER,JOAN TORRAS,25,60,Sant Andreu,9,Sant Andreu,8030,41.43784,2.19169
﻿99400152408,Salsongu,Discoteques,,PTGE UTSET,11,6,La Sagrada Família,2,Eixample,8013,41.40449,2.17791
﻿75990102529,Discoteca Performance Con Atxé,Discoteques,CARRER,PROVENÇA,43,9,La Nova Esquerra De L'eixample,2,Eixample,8029,41.38423,2.14717
﻿99400384119,Bar Treze,Cocteleries|Xampanyeries,CARRER,MAJOR DE SARRIÀ,115,23,Sarrià,5,Sarrià-sant Gervasi,8017,41.40056,2.12077
﻿75990053121,Club Sauvage,Bars I Pubs Musicals|Discoteques,PLAÇA,REIAL,7,2,El Barri Gòtic,1,Ciutat Vella,8002,41.38057,2.17519
﻿1033142110,Cerveseria Antibiòtic,Bars I Pubs Musicals,,ROCAFORT,225,9,La Nova Esquerra De L'eixample,2,Eixample,8029,41.38450,2.14627
﻿75990118547,Cocteleria Gimlet,Cocteleries|Xampanyeries,CARRER,SANTALÓ,46,26,Sant Gervasi - Galvany,5,Sarrià-sant Gervasi,8021,41.39612,2.14538
﻿92274113445,Bar Musical Aire - Sala Diana,Bars I Pubs Musicals,,VALÈNCIA,236,8,L'antiga Esquerra De L'eixample,2,Eixample,8007,41.39036,2.16038
﻿99400621096,Discoteca Ku Barcelona,Discoteques|Restaurants,PASSEIG,MARÍTIM DE LA BARCELONETA - ORIOL BOHIGAS,38,3,La Barceloneta,1,Ciutat Vella,8003,41.38346,2.19523
﻿99400709288,Cocteleria Two Schmucks,Cocteleries|Xampanyeries,CARRER,JOAQUÍN COSTA,52,1,El Raval,1,Ciutat Vella,8001,41.38316,2.16520
﻿99400707531,Bar Soda Bus & Verne,Cocteleries|Xampanyeries|Restaurants,CARRER,D'ARIBAU,150,8,L'antiga Esquerra De L'eixample,2,Eixample,8036,41.39207,2.15465
﻿99400191214,Jamming Lounge,Bars I Pubs Musicals,CARRER,VALLFOGONA,23,31,La Vila De Gràcia,6,Gràcia,8012,41.40355,2.15797
﻿99400628372,Bar Musical Acústic Sant Andreu,Bars I Pubs Musicals,,RIER SANT ANDREU,9,60,Sant Andreu,9,Sant Andreu,8030,41.43384,2.18874
﻿99400608660,Restaurant The Alchemix,Cocteleries|Xampanyeries|Restaurants,CARRER,DE VALÈNCIA,212,8,L'antiga Esquerra De L'eixample,2,Eixample,8011,41.38932,2.15899
﻿99400149745,Cocteleria Mareva,Cocteleries|Xampanyeries,CARRER,ARIBAU,54,8,L'antiga Esquerra De L'eixample,2,Eixample,8011,41.38807,2.15998
﻿75990210235,Bar Musical Samba Brasil *horta,Bars I Pubs Musicals,CARRER,SANTES CREUS,20,43,Horta,7,Horta-Guinardó,8031,41.43005,2.16211
﻿99400683088,Especiarium Bar,Cocteleries|Xampanyeries,CARRER,DE LA PRINCESA,29,4,"Sant Pere, Santa Caterina I La Ribera",1,Ciutat Vella,8003,41.38570,2.18079
﻿75990129349,Bar Musical Les Qents Que J'aime,Bars I Pubs Musicals,CARRER,VALÈNCIA,286,7,La Dreta De L'eixample,2,Eixample,8007,41.39373,2.16486
﻿75990092643,Taverna Anglesa City Arms,Bars I Pubs Musicals,PLAÇA,NARCÍS OLLER,9,31,La Vila De Gràcia,6,Gràcia,8006,41.39698,2.15547
﻿75990292800,Bar Cafeteria Cinemateca,Bars I Pubs Musicals,CARRER,PAU CLARIS,120,7,La Dreta De L'eixample,2,Eixample,8009,41.39235,2.16784
﻿99400701255,Bar Trikini,Cocteleries|Xampanyeries,CARRER,DE PUJADES,226,68,El Poblenou,10,Sant Martí,8005,41.40306,2.20269
﻿99400709303,Bar Pantera Mambo Barcelona,Cocteleries|Xampanyeries,CARRER,JOAQUÍN COSTA,39,1,El Raval,1,Ciutat Vella,8001,41.38261,2.16563
﻿99400453809,Taberna Tio Carlos,Bars I Pubs Musicals|Restaurants,,PTGE GUTENBERG,7,1,El Raval,1,Ciutat Vella,8001,41.37693,2.17471
﻿99400420446,Cocteleria Doble,Cocteleries|Xampanyeries,PASSEIG,GRÀCIA,116,31,La Vila De Gràcia,6,Gràcia,8008,41.39721,2.15921
﻿99400685836,Cocteleria Popular Gopnik,Cocteleries|Xampanyeries,CARRER,DE VALLFOGONA,23,31,La Vila De Gràcia,6,Gràcia,8012,41.40352,2.15796
