name,addresses_road_name,addresses_start_street_number,addresses_district_id,addresses_district_name,geo_epgs_4326_lat,geo_epgs_4326_lon
Restaurant Maná 75,Pg Joan Borbó Comte Barcelona,101,1,Ciutat Vella,41.371330800626644,2.1876265993001707
Restaurant Maná 75,Pg Joan Borbó Comte Barcelona,101,1,Ciutat Vella,41.371330800626644,2.1876265993001707
Restaurant Maná 75,Pg Joan Borbó Comte Barcelona,101,1,Ciutat Vella,41.371330800626644,2.1876265993001707
Restaurant Nº 30,Pg Joan Borbó Comte Barcelona,30,1,Ciutat Vella,41.37904016646946,2.1880414416045597
Restaurant Nº 30,Pg Joan Borbó Comte Barcelona,30,1,Ciutat Vella,41.37904016646946,2.1880414416045597
Restaurant Nº 30,Pg Joan Borbó Comte Barcelona,30,1,Ciutat Vella,41.37904016646946,2.1880414416045597
Bar La Confiteria,Sant Pau,128,1,Ciutat Vella,41.3755185559786,2.167940633280248
Bar La Confiteria,Sant Pau,128,1,Ciutat Vella,41.3755185559786,2.167940633280248
Bar La Confiteria,Sant Pau,128,1,Ciutat Vella,41.3755185559786,2.167940633280248
Cocteleria Monk,Carrer dels Abaixadors,6,1,Ciutat Vella,41.38310592859262,2.181191553452184
Cocteleria Monk,Carrer dels Abaixadors,6,1,Ciutat Vella,41.38310592859262,2.181191553452184
Restaurant Saraya Shisha Club,C Muntaner,102,2,Eixample,41.388688726870086,2.156915802866232
Restaurant Saraya Shisha Club,C Muntaner,102,2,Eixample,41.388688726870086,2.156915802866232
Restaurant Saraya Shisha Club,C Muntaner,102,2,Eixample,41.388688726870086,2.156915802866232
Restaurant Cocteleria Barítimo *Maremàgnum,Moll Espanya,5,1,Ciutat Vella,41.375450271691385,2.182393934529025
Restaurant Cocteleria Barítimo *Maremàgnum,Moll Espanya,5,1,Ciutat Vella,41.375450271691385,2.182393934529025
Restaurant Cocteleria Barítimo *Maremàgnum,Moll Espanya,5,1,Ciutat Vella,41.375450271691385,2.182393934529025
Atlàntic Bar,Av Tibidabo,56,5,Sarrià-Sant Gervasi,41.41536627252069,2.131617012042792
Bar musical Abanico,C Camp,3,5,Sarrià-Sant Gervasi,41.401629005577384,2.13817494725461
Bar musical Abanico,C Camp,3,5,Sarrià-Sant Gervasi,41.401629005577384,2.13817494725461
Bar musical Abanico,C Camp,3,5,Sarrià-Sant Gervasi,41.401629005577384,2.13817494725461
Discoteca La Terrrazza *Poble Espanyol,Av Francesc Ferrer Guàrdia,13,3,Sants-Montjuïc,41.36914809976752,2.1467430809493484
Sala Plataforma,C Nou de la Rambla,145,3,Sants-Montjuïc,41.3729218744942,2.1680044328607373
Sala Plataforma,C Nou de la Rambla,145,3,Sants-Montjuïc,41.3729218744942,2.1680044328607373
Bar musical Marley,C Joan Torras,25,9,Sant Andreu,41.43784665009436,2.191695745136286
Salsongu,Ptge Utset,11,2,Eixample,41.40449939478798,2.1779112755310126
Discoteca Performance con Atxé,C Provença,43,2,Eixample,41.38423837354681,2.147176397035106
Bar Treze,C Major de Sarrià,115,5,Sarrià-Sant Gervasi,41.40056704225509,2.120776021419042
Bar Treze,C Major de Sarrià,115,5,Sarrià-Sant Gervasi,41.40056704225509,2.120776021419042
Club Sauvage,Pl Reial,7,1,Ciutat Vella,41.38057557729068,2.175192398978123
Club Sauvage,Pl Reial,7,1,Ciutat Vella,41.38057557729068,2.175192398978123
Cerveseria Antibiòtic,Rocafort,225,2,Eixample,41.38450415759101,2.1462705631276715
