route_id,agency_id,route_short_name,route_long_name,route_url
9__1__013_,CRTM,1,L1 CIRCULAR (FFCC-Moreras-FFCC),https://www.crtm.es/9__1__013_.aspx
9__2__013_,CRTM,2,L2 CIRCULAR (FFCC-Residencia-FFCC),https://www.crtm.es/9__2__013_.aspx
9__3__013_,CRTM,3,L3 CIRCULAR (FFCC-Glorieta de la Música-FFCC),https://www.crtm.es/9__3__013_.aspx
9__4__013_,CRTM,4,EST. ARANJUEZ - HOSPITAL - PAU DE LA MONTAÑA,https://www.crtm.es/9__4__013_.aspx
9__5__013_,CRTM,5,L5 CIRCULAR (FFCC-La Montaña-FFCC),https://www.crtm.es/9__5__013_.aspx
8__421___,CRTM,421,MADRID (Legazpi)-PINTO,https://www.crtm.es/8__421___.aspx
8__422___,CRTM,422,MADRID (Legazpi)-VALDEMORO,https://www.crtm.es/8__422___.aspx
8__423___,CRTM,423,MADRID (Estación Sur)-ARANJUEZ,https://www.crtm.es/8__423___.aspx
8__424___,CRTM,424,MADRID (Legazpi)-VALDEMORO (El Restón),https://www.crtm.es/8__424___.aspx
8__425___,CRTM,425,VALDEMORO (Hospital)-CIEMPOZUELOS,https://www.crtm.es/8__425___.aspx
8__426___,CRTM,426,MADRID (Legazpi)-CIEMPOZUELOS,https://www.crtm.es/8__426___.aspx
8__427___,CRTM,427,MADRID (Villaverde Bajo-Cruce)-ÁREA EMPRESARIAL ANDALUCIA-PINTO,https://www.crtm.es/8__427___.aspx
8__428___,CRTM,428,GETAFE-VALDEMORO,https://www.crtm.es/8__428___.aspx
8__429___,CRTM,429,MADRID (Legazpi)-ARANJUEZ (PAU de la Montaña),https://www.crtm.es/8__429___.aspx
8__430___,CRTM,430,ARANJUEZ-VILLAREJO DE SALVANES,https://www.crtm.es/8__430___.aspx
8_N_401___,CRTM,N401,MADRID (Atocha)-PINTO-VALDEMORO,https://www.crtm.es/8_N_401___.aspx
8_N_402___,CRTM,N402,MADRID (Atocha)-CIEMPOZUELOS-ARANJUEZ,https://www.crtm.es/8_N_402___.aspx
9__1__161_,CRTM,1,CIRCULAR (FFCC-Ambulatorio-FFCC),https://www.crtm.es/9__1__161_.aspx
9__1__040_,CRTM,1,CIRCULAR DE CIEMPOZUELOS,https://www.crtm.es/9__1__040_.aspx
9__2__161_,CRTM,2,ESTACIÓN FFCC-EL RESTÓN,https://www.crtm.es/9__2__161_.aspx
9__3__161_,CRTM,3,CIRCULAR (El Restón-Avenida Andalucía-El Restón),https://www.crtm.es/9__3__161_.aspx
9__4__161_,CRTM,4,ESTACIÓN FFCC-POLÍGONOS NORTE,https://www.crtm.es/9__4__161_.aspx
9__5__161_,CRTM,5,ESTACIÓN FFCC-P.I. ROMPECUBAS,https://www.crtm.es/9__5__161_.aspx
9__6__161_,CRTM,6,ESTACIÓN FFCC-EL CARACOL-EL RESTÓN II,https://www.crtm.es/9__6__161_.aspx
9__7__161_,CRTM,7,ESTACIÓN FFCC-HOSPITAL-EL RESTÓN,https://www.crtm.es/9__7__161_.aspx
9__1_A_113_,CRTM,1A,CIRCULAR PINTO,https://www.crtm.es/9__1_A_113_.aspx
9__1_B_113_,CRTM,1B,CIRCULAR PINTO,https://www.crtm.es/9__1_B_113_.aspx
9__SE__161_,CRTM,SE,SE URBANA VALDEMORO,https://www.crtm.es/9__SE__161_.aspx
8__260___,CRTM,260,ALCALÁ DE HENARES-AMBITE-ORUSCO,https://www.crtm.es/8__260___.aspx
8__261___,CRTM,261,MADRID (Avenida de América) - NUEVO BAZTÁN-VILLAR DEL OLMO,https://www.crtm.es/8__261___.aspx
8__312___,CRTM,312,MADRID (Pavones)-ARGANDA (El Mirador),https://www.crtm.es/8__312___.aspx
8__312_A__,CRTM,312A,MADRID (Pavones)-ARGANDA (El Mirador) por La Poveda,https://www.crtm.es/8__312_A__.aspx
8__313___,CRTM,313,MADRID (Pavones)-VALDILECHA,https://www.crtm.es/8__313___.aspx
8__320___,CRTM,320,ARGANDA DEL REY-ALCALÁ DE HENARES,https://www.crtm.es/8__320___.aspx
8__321___,CRTM,321,ARGANDA (Hospital)-VILLAR DEL OLMO,https://www.crtm.es/8__321___.aspx
8__322___,CRTM,322,ARGANDA DEL REY (Hospital)-AMBITE,https://www.crtm.es/8__322___.aspx
8__326___,CRTM,326,MADRID (Pavones)-MONDEJAR-DRIEBES,https://www.crtm.es/8__326___.aspx
8_N_303___,CRTM,N303,MADRID (Atocha)-ARGANDA DEL REY,https://www.crtm.es/8_N_303___.aspx
9__1__014_,CRTM,1,RESIDENCIA-LA POVEDA,https://www.crtm.es/9__1__014_.aspx
9__2__014_,CRTM,2,LA POVEDA-SIETE VIENTOS-HOSPITAL,https://www.crtm.es/9__2__014_.aspx
9__4__014_,CRTM,4,CIRCULAR ARGANDA,https://www.crtm.es/9__4__014_.aspx
8__171___,CRTM,171,MADRID (Plaza de Castilla)-URB. SANTO DOMINGO,https://www.crtm.es/8__171___.aspx
9__8__134_,CRTM,8,CIRCULAR CIUDALCAMPO,https://www.crtm.es/9__8__134_.aspx
8__640___,CRTM,640,SAN LORENZO DE EL ESCORIAL-ROBLEDO CHAVELA-VALDEMAQUEDA,https://www.crtm.es/8__640___.aspx
