FID,OBJECTID,SHAPE,ADDRESS,BEZIRK,CITY,COUNTRYCODE,DESIGNATION,DIRECTPAYMENT,EVSEID,OPERATORNAME
ELADESTELLEOGD.1719965,1719965,POINT (16.386029005307382 48.291207065713444),"21., Gmündstraße 1",21,Wien,AT,Gmündstraße 1,0,AT*VIE*E1210580005,Wien Energ
ELADESTELLEOGD.1719966,1719966,POINT (16.411570005491477 48.28946606656051),"21., Gschweidlgasse 1",21,Wien,AT,Gschweidlgasse 1,0,AT*VIE*E1210580006,Wien Energ
ELADESTELLEOGD.1719967,1719967,POINT (16.387813005573825 48.271421066445704),"21., Kammelweg 10",21,Wien,AT,Kammelweg 10,0,AT*VIE*E1210580007,Wien Energ
ELADESTELLEOGD.1719968,1719968,POINT (16.39860600487086 48.273754065905386),"21., Koloniestraße 79",21,Wien,AT,Koloniestraße 79,0,AT*VIE*E1210580008,Wien Energ
ELADESTELLEOGD.1719969,1719969,POINT (16.412606005890336 48.24958706601462),"21., Floridusgasse 59",21,Wien,AT,Floridusgasse 59,0,AT*VIE*E1210580009,Wien Energ
ELADESTELLEOGD.1719970,1719970,POINT (16.43197800526958 48.27611906600391),"21., Tauschekgasse 11",21,Wien,AT,öff. Wipark - Garage Leopoldau,0,AT*VIE*E1210650008,Wien Energ
ELADESTELLEOGD.1719971,1719971,POINT (16.455840006158336 48.278170066236676),"21., Ernst-Kein-Gasse 1",21,Wien,AT,öff. BIP P+R Leopoldau,0,AT*VIE*E1210650012,Wien Energ
ELADESTELLEOGD.1719972,1719972,POINT (16.429685005481364 48.267347066484724),"21., Siemensstraße 105",21,Wien,AT,Siemenstraße 105,0,AT*VIE*E1210650017,Wien Energ
ELADESTELLEOGD.1719973,1719973,POINT (16.410259005354668 48.25850406604521),"21., Leopoldauer Straße  26-32",21,Wien,AT,Leopoldauer Straße 26-32,0,AT*VIE*E1210650018,Wien Energ
ELADESTELLEOGD.1719974,1719974,POINT (16.452617005066013 48.26509406627605),"21., Sandauergasse 7",21,Wien,AT,BOE P+R Aderklaaer Straße Sandauergasse Station 1,0,AT*VIE*E5177,Wien Energ
ELADESTELLEOGD.1719975,1719975,POINT (16.452617005066013 48.26509406627605),"21., Sandauergasse 7",21,Wien,AT,P&R Aderklaaer Straße Sandauergasse Station 2,0,AT*VIE*E5178,Wien Energ
