NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;YEAR;UNIT;REF_YEAR;RENEWABLE_ENERGY;GROSS_FINAL_ENERGY;PERCENTAGE
AT1;AT13;AT130;90001;0;2005;GWh;2022;2 242,77;41 132,25;5,45%
AT1;AT13;AT130;90001;0;2006;GWh;2022;2 709,80;40 474,26;6,70%
AT1;AT13;AT130;90001;0;2007;GWh;2022;3 126,08;39 096,60;8,00%
AT1;AT13;AT130;90001;0;2008;GWh;2022;3 399,43;39 114,80;8,69%
AT1;AT13;AT130;90001;0;2009;GWh;2022;3 667,32;39 467,28;9,29%
AT1;AT13;AT130;90001;0;2010;GWh;2022;3 947,00;40 852,42;9,66%
AT1;AT13;AT130;90001;0;2011;GWh;2022;3 886,36;38 844,44;10,00%
AT1;AT13;AT130;90001;0;2012;GWh;2022;3 883,96;38 680,40;10,04%
AT1;AT13;AT130;90001;0;2013;GWh;2022;3 687,10;39 379,30;9,36%
AT1;AT13;AT130;90001;0;2014;GWh;2022;3 642,02;37 038,69;9,83%
AT1;AT13;AT130;90001;0;2015;GWh;2022;3 978,23;38 458,48;10,34%
AT1;AT13;AT130;90001;0;2016;GWh;2022;3 804,10;39 293,64;9,68%
AT1;AT13;AT130;90001;0;2017;GWh;2022;3 685,24;39 643,61;9,30%
AT1;AT13;AT130;90001;0;2018;GWh;2022;3 736,83;38 993,60;9,58%
AT1;AT13;AT130;90001;0;2019;GWh;2022;3 646,09;38 604,58;9,44%
AT1;AT13;AT130;90001;0;2020;GWh;2022;3 622,70;36 499,38;9,93%
AT1;AT13;AT130;90001;0;2021;GWh;2022;3 902,80;37 913,84;10,29%
AT1;AT13;AT130;90001;0;2022;GWh;2022;3 580,17;34 823,66;10,28%
