NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;YEAR;UNIT;REF_YEAR;AGRICULTURE;C_P_SERVICES;INDUSTRY;RESIDENTIAL;TRANSPORT
AT1;AT13;AT130;90001;0;1988;GWh;2022;24,72;1 843,87;1 051,11;1 973,33;432,22
AT1;AT13;AT130;90001;0;1989;GWh;2022;25,56;1 916,74;1 067,78;2 006,11;466,67
AT1;AT13;AT130;90001;0;1990;GWh;2022;25,28;2 009,39;1 117,78;2 085,56;466,67
AT1;AT13;AT130;90001;0;1991;GWh;2022;25,83;2 128,45;1 153,89;2 199,17;545,00
AT1;AT13;AT130;90001;0;1992;GWh;2022;28,61;2 235,12;1 134,17;2 168,89;567,78
AT1;AT13;AT130;90001;0;1993;GWh;2022;29,17;2 382,75;1 108,06;2 265,00;567,22
AT1;AT13;AT130;90001;0;1994;GWh;2022;29,72;2 430,36;1 189,72;2 225,83;565,56
AT1;AT13;AT130;90001;0;1995;GWh;2022;32,78;2 483,34;1 245,83;2 323,33;558,89
AT1;AT13;AT130;90001;0;1996;GWh;2022;34,17;2 652,49;1 094,17;2 502,22;573,89
AT1;AT13;AT130;90001;0;1997;GWh;2022;33,06;2 726,24;1 117,78;2 367,22;573,89
AT1;AT13;AT130;90001;0;1998;GWh;2022;33,33;2 763,10;1 144,44;2 350,83;581,39
AT1;AT13;AT130;90001;0;1999;GWh;2022;25,34;3 112,43;972,83;2 330,43;585,93
AT1;AT13;AT130;90001;0;2000;GWh;2022;24,55;3 143,44;970,97;2 433,37;604,67
AT1;AT13;AT130;90001;0;2001;GWh;2022;24,54;3 121,04;946,27;2 627,32;603,73
AT1;AT13;AT130;90001;0;2002;GWh;2022;25,53;3 260,06;882,66;2 695,41;590,42
AT1;AT13;AT130;90001;0;2003;GWh;2022;25,56;3 495,55;976,89;2 645,49;537,23
AT1;AT13;AT130;90001;0;2004;GWh;2022;25,52;3 428,23;1 089,50;2 737,20;546,31
AT1;AT13;AT130;90001;0;2005;GWh;2022;26,98;3 282,13;1 148,75;2 830,20;668,19
AT1;AT13;AT130;90001;0;2006;GWh;2022;28,44;3 240,84;1 151,62;2 979,76;689,39
AT1;AT13;AT130;90001;0;2007;GWh;2022;29,90;3 328,63;1 126,55;2 915,16;689,34
AT1;AT13;AT130;90001;0;2008;GWh;2022;31,36;3 547,91;1 096,86;2 875,05;685,18
AT1;AT13;AT130;90001;0;2009;GWh;2022;32,82;3 583,77;1 028,85;2 934,26;654,89
AT1;AT13;AT130;90001;0;2010;GWh;2022;33,63;3 596,65;1 085,17;3 002,66;615,58
AT1;AT13;AT130;90001;0;2011;GWh;2022;32,90;3 504,58;1 093,70;2 971,96;603,96
AT1;AT13;AT130;90001;0;2012;GWh;2022;33,22;3 621,86;1 050,74;2 997,92;598,84
AT1;AT13;AT130;90001;0;2013;GWh;2022;33,11;3 688,99;917,21;3 008,96;602,17
AT1;AT13;AT130;90001;0;2014;GWh;2022;31,97;3 751,77;827,66;2 933,58;591,89
AT1;AT13;AT130;90001;0;2015;GWh;2022;32,62;3 927,33;761,45;2 901,18;614,88
AT1;AT13;AT130;90001;0;2016;GWh;2022;32,92;3 944,33;762,95;2 950,75;630,34
AT1;AT13;AT130;90001;0;2017;GWh;2022;33,79;3 799,44;776,65;3 041,43;642,90
AT1;AT13;AT130;90001;0;2018;GWh;2022;33,62;3 918,70;770,81;3 004,40;646,70
AT1;AT13;AT130;90001;0;2019;GWh;2022;33,45;4 073,04;744,63;2 967,37;651,26
AT1;AT13;AT130;90001;0;2020;GWh;2022;37,20;3 484,11;687,37;3 154,67;633,34
AT1;AT13;AT130;90001;0;2021;GWh;2022;40,97;3 294,31;729,58;3 352,52;665,21
AT1;AT13;AT130;90001;0;2022;GWh;2022;37,41;3 061,26;851,80;3 355,04;706,72
