NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;REF_YEAR;YEAR;ECOMOBILITY;MOTORIZED_PRIVATE_TRANSPORT
AT1;AT13;AT130;90001;0;2022;2005;65,00;35,00
AT1;AT13;AT130;90001;0;2022;2006;66,00;34,00
AT1;AT13;AT130;90001;0;2022;2007;68,00;32,00
AT1;AT13;AT130;90001;0;2022;2008;67,00;33,00
AT1;AT13;AT130;90001;0;2022;2009;67,50;32,50
AT1;AT13;AT130;90001;0;2022;2010;69,10;30,90
AT1;AT13;AT130;90001;0;2022;2011;71,10;28,90
AT1;AT13;AT130;90001;0;2022;2012;73,20;26,90
AT1;AT13;AT130;90001;0;2022;2013;72,60;27,40
AT1;AT13;AT130;90001;0;2022;2014;72,30;27,60
AT1;AT13;AT130;90001;0;2022;2015;73,00;26,90
AT1;AT13;AT130;90001;0;2022;2016;73,00;27,30
AT1;AT13;AT130;90001;0;2022;2017;72,60;27,40
AT1;AT13;AT130;90001;0;2022;2018;71,10;28,80
AT1;AT13;AT130;90001;0;2022;2019;73,00;27,00
AT1;AT13;AT130;90001;0;2022;2020;72,50;27,40
AT1;AT13;AT130;90001;0;2022;2021;73,60;26,20
AT1;AT13;AT130;90001;0;2022;2022;74,00;26,00
