NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;YEAR;UNIT;REF_YEAR;ROAD_TRAFFIC;SCW_CALC
AT1;AT13;AT130;90001;0;1990;1.000 t;2020;2162,571972;1322,198892
AT1;AT13;AT130;90001;0;1991;1.000 t;2020;2396,57916;1364,511457
AT1;AT13;AT130;90001;0;1992;1.000 t;2020;2384,774259;1415,288076
AT1;AT13;AT130;90001;0;1993;1.000 t;2020;2397,010825;1435,742019
AT1;AT13;AT130;90001;0;1994;1.000 t;2020;2395,880157;1486,0183
AT1;AT13;AT130;90001;0;1995;1.000 t;2020;2423,205147;1512,891726
AT1;AT13;AT130;90001;0;1996;1.000 t;2020;2646,631605;1555,655493
AT1;AT13;AT130;90001;0;1997;1.000 t;2020;2495,758226;1583,530404
AT1;AT13;AT130;90001;0;1998;1.000 t;2020;2789,771909;1628,427605
AT1;AT13;AT130;90001;0;1999;1.000 t;2020;2690,100497;1673,691705
AT1;AT13;AT130;90001;0;2000;1.000 t;2020;2814,363244;1709,741722
AT1;AT13;AT130;90001;0;2001;1.000 t;2020;3016,614215;1735,830274
AT1;AT13;AT130;90001;0;2002;1.000 t;2020;3345,67742;1777,704834
AT1;AT13;AT130;90001;0;2003;1.000 t;2020;3607,837379;1818,672608
AT1;AT13;AT130;90001;0;2004;1.000 t;2020;3688,70768;1838,440713
AT1;AT13;AT130;90001;0;2005;1.000 t;2020;3740,232779;1821,81458
AT1;AT13;AT130;90001;0;2006;1.000 t;2020;3518,46842;1796,31853
AT1;AT13;AT130;90001;0;2007;1.000 t;2020;3515,748217;1792,888126
AT1;AT13;AT130;90001;0;2008;1.000 t;2020;3283,322745;1698,972247
AT1;AT13;AT130;90001;0;2009;1.000 t;2020;3159,365602;1618,884321
AT1;AT13;AT130;90001;0;2010;1.000 t;2020;3232,384492;1644,724038
AT1;AT13;AT130;90001;0;2011;1.000 t;2020;3108,588422;1634,115302
AT1;AT13;AT130;90001;0;2012;1.000 t;2020;3062,733318;1611,879265
AT1;AT13;AT130;90001;0;2013;1.000 t;2020;3167,441342;1619,090147
AT1;AT13;AT130;90001;0;2014;1.000 t;2020;3070,49769;1626,886247
AT1;AT13;AT130;90001;0;2015;1.000 t;2020;3099,0988;1639,504356
AT1;AT13;AT130;90001;0;2016;1.000 t;2020;3220,089035;1736,893474
AT1;AT13;AT130;90001;0;2017;1.000 t;2020;3305,34876;1778,409825
AT1;AT13;AT130;90001;0;2018;1.000 t;2020;3273,501401;1827,709036
AT1;AT13;AT130;90001;0;2019;1.000 t;2020;3278,797723;1768,624387
AT1;AT13;AT130;90001;0;2020;1.000 t;2020;2841,526868;1480,915822
