id;site_active;site_owner;name;coordinates;user_type;installation_date;counter;photos
100034825;No;North Carolina Capital Area Metropolitan Planning Organization (CAMPO);CRY_NHC;35.81677, -78.92767;bicycle;2018-06-06;;https://filer.eco-counter-tools.com/file/10/acaafa1abed1715b94db3018c21adb81d2749adc3ca8b802c20901e2e61fe710/15423098115301.jpg
100034833;Yes;North Carolina Capital Area Metropolitan Planning Organization (CAMPO);WKF_MAI_E;35.972176, -78.515607;pedestrian;2018-06-27;Y2H23070974;https://filer.eco-counter-tools.com/file/32/56db8a75cfe046de1637f0f0257c9dd7a7d9133eeec51236ffcfa842f9aefb32/15423102958230.jpg
100034839;Yes;North Carolina Capital Area Metropolitan Planning Organization (CAMPO);APX_SAL_W;35.731424, -78.85116;undefined;2018-06-07;Y2H23070959;https://filer.eco-counter-tools.com/file/11/fc1c7b2dd8c96ad17958cd4a6ba1bbe4eef1a77bbd61fa848802d9436cdc7911/15423096158421.jpg
100034842;Yes;North Carolina Capital Area Metropolitan Planning Organization (CAMPO);RAL_HAR_N;35.77808, -78.62943;undefined;2018-05-31;Y2H23070971;https://filer.eco-counter-tools.com/file/08/d7c8edf2d4b3b931eaeb19fed814318c313231894e92a94e6e5e6bc46de39c08/15423099901481.jpg
100034867;Yes;North Carolina Capital Area Metropolitan Planning Organization (CAMPO);CRY_LOU_W;35.80602, -78.86175;undefined;2018-06-04;Y2H23070961;https://filer.eco-counter-tools.com/file/20/664860144e75ec9961b42867f6bafcd78aad6e19c407f799c5d947b7fd172720/15423097489070.jpg
100034868;Yes;North Carolina Capital Area Metropolitan Planning Organization (CAMPO);CRY_LOU_E;35.80595, -78.86149;undefined;2018-06-04;Y2H16110973;https://filer.eco-counter-tools.com/file/79/355317134bed431581ca0a380d9604007b1f5653c09caba1e5484fc603236b79/15423097201000.jpg
100047346;Yes;North Carolina Capital Area Metropolitan Planning Organization (CAMPO);RAL_RID_W;35.811378, -78.684408;undefined;2018-01-26;YAH23070930;https://filer.eco-counter-tools.com/file/e8/835da522124aff51ce676d9b9824ffc023b7db55da059da52f5c0d0993f93fe8/15423102494670.jpg
100049983;Yes;North Carolina Capital Area Metropolitan Planning Organization (CAMPO);RAL_HIL_S;35.784725, -78.65939;undefined;2019-01-29;YAH18014303;https://filer.eco-counter-tools.com/file/47/ab26904187171840bd2338092a4622d928bfdf3f5a6124e46edaf1b7ccae2d47/15487916682620.jpg
300042978;No;Cary;White Oak Creek Greenway - West;35.778354, -78.890762;pedestrian;;;
300043434;Yes;Cary;Black Creek Greenway (High House x NW Maynard);35.783036, -78.810335;bicycle;2024-06-28;DGP24042961;https://filer.eco-counter-tools.com/file/4a/91fe24ad42e927d5a4d3ebb425fdfb5de200e64af7fc8abb82116dae0e09864a/DGP24042961_IN.jpg
