PK;NOMBRE;DESCRIPCION-ENTIDAD;HORARIO;EQUIPAMIENTO;TRANSPORTE;DESCRIPCION;ACCESIBILIDAD;CONTENT-URL;NOMBRE-VIA;CLASE-VIAL;TIPO-NUM;NUM;PLANTA;PUERTA;ESCALERAS;ORIENTACION;LOCALIDAD;PROVINCIA;CODIGO-POSTAL;COD-BARRIO;BARRIO;COD-DISTRITO;DISTRITO;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;TELEFONO;FAX;EMAIL;TIPO
5989871;"Auditorio Carmen Laforet (Ciudad Lineal)";"Ubicado en el Centro de Mayores Carmen Laforet";"De lunes a sábado, de 9 a 21 horas. Domingos y festivos y agosto cerrado.";"Aforo: 190 personas Zona wifi";"Metro: Pinar de Chamartín (líneas 1, 4 y línea 1 metro ligero)";"";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=fca22248514ae210VgnVCM1000000b205a0aRCRD";"JAZMIN";"CALLE";"V";"46";"";"";"";"";"MADRID";"MADRID";"28033";"9";"COSTILLARES";"15";"CIUDAD LINEAL";"443573";"4481211";"40.47967249471556";"-3.6657243894913565";"913 831 456";"";"cscsiena@madrid.es";"/contenido/entidadesYorganismos/AuditoriosSalasConcierto"
2389;"Auditorio al aire libre. Parque del Calero";"";"";"Zona wifi Cafetería";"Metro: Quintana (línea 5), Barrio de la Concepción (línea 7).";"";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=c6237b503a71c010VgnVCM1000000b205a0aRCRD";"JOSE DEL HIERRO";"CALLE";"V";"3";"";"";"";"";"MADRID";"MADRID";"28027";"4";"LA CONCEPCION";"15";"CIUDAD LINEAL";"444836";"4476387";"40.436300129244366";"-3.65040832835415";"605 479 326";"";"cultuclineal@madrid.es";"/contenido/entidadesYorganismos/AuditoriosSalasConcierto"
139451;"Auditorio y sala de exposiciones Paco de Lucía (Latina)";"";"Cerrado durante todo el mes de agosto.";"Sala de exposiciones. Salón de actos y auditorio con aforo máximo de 275 personas.";"Metro de Madrid. Línea 5. Estación: Aluche. Autobuses de la EMT. Líneas: 138, 139, 155, 17. Cercanías RENFE. Línea C 5. Estación: Aluche.";"";"1,6";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=6089ba61e681c010VgnVCM1000000b205a0aRCRD";"LAS AGUILAS";"AVENIDA";"V";"2";"";"";"";"";"MADRID";"MADRID";"28044";"7";"LAS AGUILAS";"10";"LATINA";"435135";"4470763";"40.38493929920335";"-3.7641963952601154";"915 120 890";"";"";"/contenido/entidadesYorganismos/CentrosCulturales"
1914;"Centro Cultural - Centro Socio Cultural Villa de Barajas";"";"Horario del centro:   C/ Botica, 7: De lunes a viernes, de 8:30 a 21:30 horas. C/ Botica, 10: De lunes a viernes, de 8:30 a 22 horas.   Sábados, domingos, festivos y agosto, cerrado   Horario de secretaría:   De lunes a jueves, de 9 a 14 horas y de 15 a 17 horas.  Fuera de este horario el centro permanecerá abierto durante la celebración de las actividades que se programen.";"3 salas de exposiciones Salón de actos / auditorio (aforo: 103 personas) 11 aulas Zona wifi 2 gimnasios";"Metro: Barajas (línea 8)";"";"1,5,6";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=476c1e79ee71c010VgnVCM1000000b205a0aRCRD";"BOTICA";"CALLE";"V";"7";"";"";"";"Y 10";"MADRID";"MADRID";"28042";"3";"CASCO H.BARAJAS";"21";"BARAJAS";"450962";"4480446";"40.47324881250678";"-3.5784908616003723";"913 291 803";"";"ccvillabarajas@madrid.es";"/contenido/entidadesYorganismos/CentrosCulturales"
117288;"Centro Cultural Agustín Díaz (Moncloa - Aravaca)";"";"Horario del centro:    De lunes a viernes, de 9 a 14 y de 15 a 21 horas. Sábados, domingos, festivos y agosto, cerrado.   Horario de secretaría:   De lunes a viernes, de 9:30 a 13:30 horas. Martes y jueves, de 15 a 17 horas. Julio y semana de San Isidro, de lunes a viernes, de 9:30 a 13:30 horas.  Fuera de este horario el centro permanecerá abierto durante la celebración de las actividades que se programen.";"7 aulas Auditorio Joaquín Rosado (aforo: 280 plazas) Sala de lectura Zona wifi";"Consultar los siguientes enlaces";"";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=2d07cbf06c81c010VgnVCM1000000b205a0aRCRD";"COMANDANTE FORTEA";"PASEO";"V";"42";"";"";"";"";"MADRID";"MADRID";"28008";"1";"CASA DE CAMPO";"9";"MONCLOA-ARAVACA";"437872";"4475469";"40.42754184442827";"-3.7324112111503682";"915 487 772";"";"ccadiaz@madrid.es";"/contenido/entidadesYorganismos/CentrosCulturales"
118067;"Centro Cultural Alfredo Kraus (Fuencarral - El Pardo)";"";"Centro: de lunes a viernes de 9 a 14 y de 16 a 21.30h. Sábados de 09:30 a 13:45 y de 16:00 a 20:45h.  Secretaría: de lunes a jueves de 9:30  a 14 y de 16:30 a 18. Viernes de 9:30 a 13:30 h.  Domingo y festivos cerrado.  Agosto: De lunes a sábado de 09:00 a 13:45h y de 16:30 a 21:00h.";"Sala de exposiciones Sala de lectura y estudio 2 salones de actos / auditorio 14 aulas Cafetería Zona wifi";"Bus: 49 , 64";"Teléfono de secretaría  91 376 70 85.";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=7337cbf06c81c010VgnVCM1000000b205a0aRCRD";"PRADERA DE VAQUERIZAS";"GLORIETA";"V";"9";"";"";"";"";"MADRID";"MADRID";"28035";"7";"MIRASIERRA";"8";"FUENCARRAL-EL PARDO";"438848";"4482487";"40.49082275610172";"-3.7216054330053647";"913 767 085";"";"ccakraus@madrid.es";"/contenido/entidadesYorganismos/CentrosCulturales"
1942;"Centro Cultural Antonio Machado (San Blas - Canillejas)";"";"Horario del centro:   De lunes domingo, de 9 a 21:30 horas ininterrumpidamente. 24 y 31 de diciembre, de 9 a 14 horas.  25 de diciembre y 1 de enero, cerrado.   Horario de secretaría:   De lunes a jueves, de 10 a 13:30 horas y de 16:15 a 17:45 horas. Viernes, de 10 a 13:30 horas.  Julio: de lunes a viernes, de 10 a 13:30 horas. Agosto: consultar el teléfono de información general del centro.    Consultar horarios de actividades en información relacionada y de talleres en el teléfono del centro.";"4 salas de exposiciones 1 auditorio (aforo 401 butacas) 1 salón de actos (aforo 182 butacas) Salas de ensayo 20 aulas Jardín exterior Zona wifi";"Metro: Alsacia (línea 2)";"Instalaciones del Centro Cultural:   Biblioteca Pública Municipal San Blas   Escuela Municipal de Música Antonio Machado";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=cce43d0b5e71c010VgnVCM1000000b205a0aRCRD";"SAN ROMAN DEL VALLE";"CALLE";"V";"8";"";"";"";"";"MADRID";"MADRID";"28037";"4";"ARCOS";"20";"SAN BLAS-CANILLEJAS";"447255";"4474591";"40.420280457570335";"-3.621730741880216";"913 135 294";"";"ccamachado@madrid.es";"/contenido/entidadesYorganismos/CentrosCulturales"
52511;"Centro Cultural Auditorio Parque El Paraíso (San Blas - Canillejas)";"";"";"";"Metro: Simancas (línea 7)";"";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=a395946be351c010VgnVCM2000000c205a0aRCRD";"ARCENTALES";"AVENIDA";"V";"4";"";"";"";"";"MADRID";"MADRID";"28037";"2";"HELLIN";"20";"SAN BLAS-CANILLEJAS";"447225";"4475667";"40.42997621103139";"-3.6221773579444596";"915 888 065";"";"cultusanblas@madrid.es";"/contenido/entidadesYorganismos/AuditoriosSalasConcierto"
64851;"Centro Cultural Buenavista (Salamanca)";"";"Horario del centro:   De lunes a viernes, de 9 a 21 horas. Sábados, de 10 a 21 horas. Julio, agosto y septiembre, de lunes a viernes, de 9 a 20 horas. Sábados de julio y septiembre de 10 a 20 horas. Domingos y festivos y sábados de agosto cerrado.     Horario de Secretaría:   De lunes a jueves, de 9 a 13:45 horas y de 16 a 17:45 horas. Viernes, de 9 a 14 horas. Julio: de lunes a viernes, de 9 a 14 horas. Agosto cerrada secretaría.  Fuera de este horario el centro permanecerá abierto durante la celebración de las actividades que se programen.";"Sala de exposiciones Salón de actos / auditorio (aforo 114 personas) 12 aulas Wifi Sala de conferencias (aforo 150 personas) Máquinas de vending";"Metro: Diego de León (líneas 4, 5 y 6)";"";"1,5,6";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=068e598d1351c010VgnVCM1000000b205a0aRCRD";"TOREROS";"AVENIDA";"V";"5";"";"";"";"";"MADRID";"MADRID";"28028";"4";"GUINDALERA";"4";"SALAMANCA";"443094";"4475922";"40.43200001609297";"-3.670904677285496";"917 240 800";"";"ccbuenavista@madrid.es";"/contenido/entidadesYorganismos/CentrosCulturales"
1943;"Centro Cultural Buero Vallejo (San Blas - Canillejas)";"";"Horario del centro:    De lunes a viernes, de 9 a 15 y de 16 a 22 horas. Sábados, domingos y festivos, de 9:30 a 14:30 y de 15:30 a 22:30 horas. Agosto, 24, 25 31 de diciembre y 1 de enero, cerrado.    Horario de secretaría:   De lunes a viernes, de 9:30 a 13:30 y de 16:30 a 18:00 horas.  Julio: de lunes a viernes, de 9 a 14 horas. Agosto, cerrado  Fuera de este horario el centro permanecerá abierto durante la celebración de las actividades que se programen.";"Salón de actos / auditorio (264 personas) Sala de exposiciones 9 aulas Zona wifi";"Metro: Torres Arias y Canillejas (línea 5)";"";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=98953d0b5e71c010VgnVCM1000000b205a0aRCRD";"BOLTAÑA";"CALLE";"V";"27";"";"";"";"";"MADRID";"MADRID";"28022";"7";"CANILLEJAS";"20";"SAN BLAS-CANILLEJAS";"448023";"4477305";"40.44477474902185";"-3.6129105844633775";"917 411 182";"";"ccbvallejo@madrid.es";"/contenido/entidadesYorganismos/CentrosCulturales"
