TITULO;GRATUITO;DIAS-SEMANA;FECHA-INICIO;FECHA-FIN;HORA;CONTENT-URL;URL-INSTALACION;LATITUD;LONGITUD;TIPO;AUDIENCIA
100 Libros juntas;Gratuito;Un día a la semana;2025-10-25;2025-10-25;19:00;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=dce145cbf9a79910VgnVCM100000891ecb1aRCRD;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=5787e842ec9a6110VgnVCM1000000b205a0aRCRD;40.37691447788016;-3.7416256113806847; Cine Actividades Audiovisuales;Informacion no disponible
1984;No gratuito;M,X,J,V,S,D;2026-03-03;2026-04-05;informacion no disponible;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=14c40ad1e7919910VgnVCM200000f921e388RCRD;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=ba663d0b5e71c010VgnVCM1000000b205a0aRCRD;40.4249721516942;-3.689948085098791; Programacion Destacada Agenda Cultura;Informacion no disponible
20 años en barbecho;Gratuito;Un día a la semana;2025-10-18;2025-10-18;20:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=cc7d854b9b489910VgnVCM200000f921e388RCRD;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=1aaf38317117e210VgnVCM1000000b205a0aRCRD;40.3957812018463;-3.6670346724676173; Actividades Calle Arte Urbano;Informacion no disponible
39º Certamen Coreográfico de Madrid;No gratuito;L,M,X,J,V,S,D;2025-12-03;2025-12-07;informacion no disponible;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=42781ae2c7839910VgnVCM100000891ecb1aRCRD;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=64463d0b5e71c010VgnVCM1000000b205a0aRCRD;40.42739911262292;-3.710589286287491; Danza Baile;Informacion no disponible
4 patas tiene un cuento;Gratuito;Un día a la semana;2025-10-05;2025-10-05;12:00;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=64e4c9cfcf579910VgnVCM200000f921e388RCRD;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=fbd91e79ee71c010VgnVCM1000000b205a0aRCRD;40.36969488211539;-3.7081179166391824; Teatro Performance; Niños
A golpe de carcajadas;Gratuito;Un día a la semana;2025-10-26;2025-10-26;12:00;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=d866c92601679910VgnVCM200000f921e388RCRD;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=fbd91e79ee71c010VgnVCM1000000b205a0aRCRD;40.36969488211539;-3.7081179166391824; Cuentacuentos Titeres Marionetas; Niños
Abierto x Obras;Gratuito;M,X,J,V,S,D;2025-10-16;2026-01-31;informacion no disponible;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=acaca2c35cf48910VgnVCM200000f921e388RCRD;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=ef686a9ee7336110VgnVCM1000000b205a0aRCRD;40.39130985242181;-3.6958028442054074; Programacion Destacada Agenda Cultura;Informacion no disponible
Abraza a tu niña interior;Gratuito;Un día a la semana;2025-10-29;2025-10-29;18:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=59aa0c6b09589910VgnVCM200000f921e388RCRD;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=e58c855a64315610VgnVCM2000001f4a900aRCRD;40.46088981165102;-3.6700689174427326; Cursos Talleres;Informacion no disponible
Ábrete Sésamo;Gratuito;Un día a la semana;2025-10-19;2025-10-19;12:00;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=38e762148df79910VgnVCM100000891ecb1aRCRD;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=24be1e79ee71c010VgnVCM1000000b205a0aRCRD;40.4366557020283;-3.6113517282299217;Informacion no disponible; Niños
Acción teatro;No gratuito;V;2025-10-24;2026-01-30;informacion no disponible;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=2d41770f8ca19910VgnVCM200000f921e388RCRD;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=ef686a9ee7336110VgnVCM1000000b205a0aRCRD;40.39130985242181;-3.6958028442054074; Programacion Destacada Agenda Cultura; Mayores
Achuuuuus;Gratuito;Un día a la semana;2025-10-24;2025-10-24;17:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=b9279e8c34019910VgnVCM100000891ecb1aRCRD;;;; Circo Magia; Niños
Acompañamiento digital a personas mayores;Gratuito;L,M,X,J,V,S,D;2025-10-01;2026-01-14;informacion no disponible;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=5b58d89ad2232910VgnVCM2000001f4a900aRCRD;;;;Informacion no disponible;Informacion no disponible
Acompañar en la pérdida;No gratuito;M;2025-09-16;2025-12-16;17:00;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=197023e4c84d3910VgnVCM2000001f4a900aRCRD;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=70d879262ef5d010VgnVCM1000000b205a0aRCRD;40.47860087334554;-3.7094408342979954; Cursos Talleres;Informacion no disponible
Actividad física a partir de los 60;Gratuito;Un día a la semana;2025-10-22;2025-10-22;19:00;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=19265cc8a0829910VgnVCM200000f921e388RCRD;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=9d8c1e79ee71c010VgnVCM1000000b205a0aRCRD;40.38281866921273;-3.6061377076487906; Conferencias Coloquios;Informacion no disponible
Actividades deportivas Fiestas del Pilar 2025;No gratuito;Un día a la semana;2025-10-11;2025-10-11;09:00;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=288810ebf3a99910VgnVCM200000f921e388RCRD;;;; Actividades Deportivas;Informacion no disponible
Actividades deportivas Fiestas del Pilar 2025;No gratuito;Un día a la semana;2025-10-04;2025-10-04;09:00;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=f192a39d13a99910VgnVCM200000f921e388RCRD;;;; Actividades Deportivas;Informacion no disponible
Actividades deportivas Fiestas del Pilar 2025;No gratuito;Un día a la semana;2025-10-05;2025-10-05;09:00;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=dbb3a39d13a99910VgnVCM200000f921e388RCRD;;;; Actividades Deportivas;Informacion no disponible
Actividades deportivas Fiestas del Pilar 2025;No gratuito;Un día a la semana;2025-10-12;2025-10-12;09:30;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=ae5b10ebf3a99910VgnVCM200000f921e388RCRD;;;; Actividades Deportivas;Informacion no disponible
Actividades en el centro juvenil 'Carabanchel Alto'. Octubre 2025;Gratuito;L,M,X,J,V,S,D;2025-10-01;2025-10-31;informacion no disponible;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=c98efeefeb4fd810VgnVCM1000001d4a900aRCRD;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=2565d2d6fe9a6110VgnVCM1000000b205a0aRCRD;40.366822704148795;-3.755451103709316; Programacion Destacada Agenda Cultura; Jovenes
Actividades en el centro juvenil 'Chamberí'.  Octubre 2025;Gratuito;L,M,X,J,V,S,D;2025-10-01;2025-10-31;informacion no disponible;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=296728f1aa80e810VgnVCM2000001f4a900aRCRD;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=7054251933357310VgnVCM2000000c205a0aRCRD;40.44661949643803;-3.703467785151993; Arte; Jovenes
Actividades en el centro juvenil 'El Aleph' (Villa de Vallecas). Octubre 2025;Gratuito;L,M,X,J,V,S,D;2025-10-01;2025-10-31;informacion no disponible;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=185816ca7290e810VgnVCM2000001f4a900aRCRD;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=84869475d381c010VgnVCM1000000b205a0aRCRD;40.38257934400676;-3.6054546139177392;Informacion no disponible; Jovenes
Actividades en el centro juvenil 'El Sitio de mi recreo' (Villa de Vallecas). Octubre 2025;Gratuito;L,M,X,J,V,S,D;2025-10-01;2025-10-31;informacion no disponible;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=e90a16ca7290e810VgnVCM2000001f4a900aRCRD;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=9bd738d60b41c010VgnVCM2000000c205a0aRCRD;40.37953682427198;-3.616901585603186; Programacion Destacada Agenda Cultura; Jovenes
Actividades en el centro juvenil 'Hontalbilla' (Fuencarral - El Pardo). Octubre 2025;Gratuito;L,M,X,J,V,S,D;2025-10-01;2025-10-31;informacion no disponible;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=c5d416ca7290e810VgnVCM2000001f4a900aRCRD;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=afc93331c9ee2210VgnVCM2000000c205a0aRCRD;40.49231828430878;-3.6906342081203283;Informacion no disponible; Jovenes
Actividades en el centro juvenil 'Ouka Leele'. Octubre 2025.;Gratuito;L,M,X,J,V,S,D;2025-10-01;2025-10-31;informacion no disponible;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=51f73efea2652910VgnVCM1000001d4a900aRCRD;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=9721133100fbf810VgnVCM1000001d4a900aRCRD;40.389367699255175;-3.6884383126394686; Folclore Etnica; Jovenes
Actividades en el centro juvenil 'Tetuán Punto Joven'. Octubre 2025;Gratuito;L,M,X,J,V,S,D;2025-10-01;2025-10-31;informacion no disponible;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=00dbfc1fe590e810VgnVCM2000001f4a900aRCRD;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=2f9e41aee5a2a110VgnVCM1000000b205a0aRCRD;40.447199849232135;-3.6998771920981004;Informacion no disponible; Jovenes
Actividades mensuales de los centros de mayores del distrito Centro;No gratuito;L,M,X,J,V;2025-10-01;2032-04-30;informacion no disponible;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=b8d69bd86cd1b810VgnVCM2000001f4a900aRCRD;;;;Informacion no disponible; Mayores
