NOMBRE;AFORO;CERCANIAS;AUTOBUSES;METRO;ACCESIBILIDAD;CONTENT-URL;VIA;LOCALIDAD;CODIGO-POSTAL;BARRIO;DISTRITO;LATITUD;LONGITUD;TELEFONO;EMAIL;TIPO
Auditorio Carmen Laforet (Ciudad Lineal);190;Informacion no disponible;Informacion no disponible;1, 4 y línea 1 metro ligero;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=fca22248514ae210VgnVCM1000000b205a0aRCRD;Calle Jazmin;Madrid;28033;Costillares;Ciudad Lineal;40.47967249471556;-3.6657243894913565;913 831 456;cscsiena@madrid.es; Auditorios Salas Concierto
Auditorio al aire libre. Parque del Calero;Informacion no disponible;Informacion no disponible;Informacion no disponible;5;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=c6237b503a71c010VgnVCM1000000b205a0aRCRD;Calle Jose Del Hierro;Madrid;28027;La Concepcion;Ciudad Lineal;40.436300129244366;-3.65040832835415;605 479 326;cultuclineal@madrid.es; Auditorios Salas Concierto
Auditorio y sala de exposiciones Paco de Lucía (Latina);275;RENFE. Línea C 5. Estación: Aluche.;.  138, 139, 155, 17. Cercanías RENFE. Línea C 5. Estación: Aluche.;Informacion no disponible;1,6;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=6089ba61e681c010VgnVCM1000000b205a0aRCRD;Avenida Las Aguilas;Madrid;28044;Las Aguilas;Latina;40.38493929920335;-3.7641963952601154;915 120 890;Informacion no disponible; Centros Culturales
Centro Cultural - Centro Socio Cultural Villa de Barajas;103;Informacion no disponible;Informacion no disponible;8;1,5,6;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=476c1e79ee71c010VgnVCM1000000b205a0aRCRD;Calle Botica;Madrid;28042;Casco H.Barajas;Barajas;40.47324881250678;-3.5784908616003723;913 291 803;ccvillabarajas@madrid.es; Centros Culturales
Centro Cultural Agustín Díaz (Moncloa - Aravaca);280;Informacion no disponible;Informacion no disponible;Informacion no disponible;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=2d07cbf06c81c010VgnVCM1000000b205a0aRCRD;Paseo Comandante Fortea;Madrid;28008;Casa De Campo;Moncloa-aravaca;40.42754184442827;-3.7324112111503682;915 487 772;ccadiaz@madrid.es; Centros Culturales
Centro Cultural Alfredo Kraus (Fuencarral - El Pardo);Informacion no disponible;Informacion no disponible;Informacion no disponible;Informacion no disponible;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=7337cbf06c81c010VgnVCM1000000b205a0aRCRD;Glorieta Pradera De Vaquerizas;Madrid;28035;Mirasierra;Fuencarral-el Pardo;40.49082275610172;-3.7216054330053647;913 767 085;ccakraus@madrid.es; Centros Culturales
Centro Cultural Antonio Machado (San Blas - Canillejas);401;Informacion no disponible;Informacion no disponible;2;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=cce43d0b5e71c010VgnVCM1000000b205a0aRCRD;Calle San Roman Del Valle;Madrid;28037;Arcos;San Blas-canillejas;40.420280457570335;-3.621730741880216;913 135 294;ccamachado@madrid.es; Centros Culturales
Centro Cultural Auditorio Parque El Paraíso (San Blas - Canillejas);Informacion no disponible;Informacion no disponible;Informacion no disponible;7;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=a395946be351c010VgnVCM2000000c205a0aRCRD;Avenida Arcentales;Madrid;28037;Hellin;San Blas-canillejas;40.42997621103139;-3.6221773579444596;915 888 065;cultusanblas@madrid.es; Auditorios Salas Concierto
Centro Cultural Buenavista (Salamanca);114;Informacion no disponible;Informacion no disponible;4, 5 y 6;1,5,6;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=068e598d1351c010VgnVCM1000000b205a0aRCRD;Avenida Toreros;Madrid;28028;Guindalera;Salamanca;40.43200001609297;-3.670904677285496;917 240 800;ccbuenavista@madrid.es; Centros Culturales
Centro Cultural Buero Vallejo (San Blas - Canillejas);264;Informacion no disponible;Informacion no disponible;5;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=98953d0b5e71c010VgnVCM1000000b205a0aRCRD;Calle Boltaña;Madrid;28022;Canillejas;San Blas-canillejas;40.44477474902185;-3.6129105844633775;917 411 182;ccbvallejo@madrid.es; Centros Culturales
Centro Cultural Carril del Conde (Hortaleza);288;Informacion no disponible;Informacion no disponible;4;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=66a7cbf06c81c010VgnVCM1000000b205a0aRCRD;Calle Carril Del Conde;Madrid;28043;Canillas;Hortaleza;40.46089499555313;-3.654366821391548;917 161 240;cccarrilconde@madrid.es; Centros Culturales
Centro Cultural Casa de Vacas (Retiro);140;Informacion no disponible;Informacion no disponible;2;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=35e53d0b5e71c010VgnVCM1000000b205a0aRCRD;Paseo Colombia;Madrid;28009;Los Jeronimos;Retiro;40.41906571939961;-3.684053112760816;914 092 336;cccasadevacas@madrid.es; Salas Exposiciones
Centro Cultural Casa del Reloj (Arganzuela);265;Informacion no disponible;Informacion no disponible;3, 6;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=8b063d0b5e71c010VgnVCM1000000b205a0aRCRD;Paseo Chopera;Madrid;28045;Chopera;Arganzuela;40.39466755008527;-3.700396761468562;915 886 118 / 915 886 299;crelojarganzuela@madrid.es; Centros Culturales
Centro Cultural Ciudad Pegaso (San Blas - Canillejas);132;Informacion no disponible;Informacion no disponible;Informacion no disponible;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=07f63190712b1110VgnVCM1000000b205a0aRCRD;Avenida Septima;Madrid;28022;Rejas;San Blas-canillejas;40.44844757572015;-3.598099871155595;917 415 852;cccpegaso@madrid.es; Centros Culturales
Centro Cultural Clara del Rey - Museo ABC (Centro);55;Informacion no disponible;Informacion no disponible;3, 10;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=b8afb908d1825810VgnVCM1000001d4a900aRCRD;Calle Amaniel;Madrid;28015;Universidad;Centro;40.42741340671151;-3.7095381101739444;915 222 823;ccclararey@madrid.es; Centros Culturales
Centro Cultural Eduardo Úrculo (Tetuán);425;Informacion no disponible;Informacion no disponible;9;1,6;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=f8f9338588355210VgnVCM1000000b205a0aRCRD;Plaza Donoso;Madrid;28029;Almenara;Tetuan;40.46900764611639;-3.697595691925329;917 337 249;cceurculo@madrid.es; Centros Culturales
Centro Cultural El Plantío (Moncloa - Aravaca);Informacion no disponible;Informacion no disponible;Informacion no disponible;Informacion no disponible;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=45ef9eebdd647810VgnVCM2000001f4a900aRCRD;Calle Jose Lombana Iglesias;Madrid;28023;El Plantio;Moncloa-aravaca;40.47096731070447;-3.8245164150407103;913 644 191;ccplantio@madrid.es; Centros Culturales
Centro Cultural El Pozo del tío Raimundo (Puente de Vallecas);363;Informacion no disponible;Informacion no disponible;2;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=add63d0b5e71c010VgnVCM1000000b205a0aRCRD;Avenida Glorietas;Madrid;28053;Entrevias;Puente De Vallecas;40.37381624358889;-3.6599325731670977;917 866 644;ccptioraimundo@madrid.es; Centros Culturales
Centro Cultural Emilia Pardo Bazán (Salamanca);63;Informacion no disponible;Informacion no disponible;4;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=dc8d531521b74810VgnVCM1000001d4a900aRCRD;Calle Goya;Madrid;28001;Recoletos;Salamanca;40.42585800515975;-3.689601594290468;913 052 081;ccemiliapardobazan@madrid.es; Salas Estudio Lectura
Centro Cultural Federico Chueca (Hortaleza);114;Informacion no disponible;Informacion no disponible;Informacion no disponible;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=90573d0b5e71c010VgnVCM1000000b205a0aRCRD;Calle Benita Avila;Madrid;28043;Canillas;Hortaleza;40.465513265035874;-3.650585652034587;913 000 389;ccfchueca@madrid.es; Centros Culturales
Centro Cultural Fernando Lázaro Carreter (Carabanchel);238;Informacion no disponible;Informacion no disponible;5;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=340ed2d6fe9a6110VgnVCM1000000b205a0aRCRD;Calle Verdad;Madrid;28019;Opañel;Carabanchel;40.39164455403764;-3.717137582860074;914 690 895;cclazaro@madrid.es; Centros Culturales
Centro Cultural Fernando de los Ríos (Latina);194;Informacion no disponible;Informacion no disponible;Informacion no disponible;1,6;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=3d973d0b5e71c010VgnVCM1000000b205a0aRCRD;Calle Camarena;Madrid;28047;Aluche;Latina;40.39552931214334;-3.7562667464373223;917 198 930 / 917 198 931 / 917 198 993;ccfrios@madrid.es; Centros Culturales
Centro Cultural Fuente de San Pedro - Valderrivas (Vicálvaro);56;Informacion no disponible;Informacion no disponible;Informacion no disponible;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=67d82728d0f1c810VgnVCM2000001f4a900aRCRD;Calle Titanio;Madrid;28032;Valderrivas;Vicalvaro;40.40218085880392;-3.60141148450391;917 753 200;ccfuentesanpedro@madrid.es; Centros Culturales
Centro Cultural Galileo (Chamberí);175;Informacion no disponible;Informacion no disponible;2;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=30181e79ee71c010VgnVCM1000000b205a0aRCRD;Calle Galileo;Madrid;28015;Arapiles;Chamberi;40.433719454283505;-3.7104468992841753;915 913 901;ccgalileo@madrid.es; Centros Culturales
Centro Cultural Gloria Fuertes (Barajas);Informacion no disponible;Informacion no disponible;Informacion no disponible;Informacion no disponible;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=2e5068540e41c010VgnVCM2000000c205a0aRCRD;Avenida Logroño;Madrid;28042;Corralejos;Barajas;40.4606308732073;-3.59366944150524;913 120 243;ccgloriafuertes@madrid.es; Centros Culturales
